asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3417425-2,30888279,Jolari Thai Food ,Emmauksenkatu 1 ,20380,TURKU,Turku,Jolari Thai Food Oy,14.07.2025,
2615910-8,1047109,Merenkurkun Majatalo,Rudträskvägen 6,65870,BJÖRKÖBY,Mustasaari,Merenkurkun Majatalo Oy,01.03.2018,
3334029-8,30888963,Bar Taikurin Hattu,Tanhuantie 3,940,HELSINKI,Helsinki,Nguyen Nhung Oy,01.11.2025,
3354911-2,30881347,Cafe Abraham's,Liminganraitti 10B,91900,LIMINKA,Liminka,Cafe Abraham's Oy,15.05.2023,
2427734-6,1055343,Kart in Club Turku,Pollenkuja 2,20380,TURKU,Turku,Delian Oy,09.01.2017,
0564044-5,30058068,Hotel  Astor,Stationsgatan 6,65100,VAASA,Vaasa,Hotel Astor Wasa Oy Ab,13.07.2020,
1607413-5,1013292,Ravintola Macchiavelli,Assistentinkatu 5,20014,TURUN YLIOPISTO,Turku,Unica Oy,04.10.2001,
2370168-6,1056888,Pub&Club Hilpeä Hilma,Rautatienkatu 21,15110,LAHTI,Lahti,Tulikuuma Kumpu Oy,08.05.2017,
3012282-6,1073892,Rodin Pizzeria,Hannikaisenkatu 29,40100,JYVÄSKYLÄ,Jyväskylä,Rodin Jyväskylä Oy,24.05.2022,
2974846-9,30888768,Kantapubi Tälli,Kylä-Karviantie 12,39930,KARVIA,Karvia,Trendy & Stylish,01.10.2025,
2996944-8,30884032,Clarion Hotel Helsinki Airport sekä Comfort Hotel Helsinki Airport,Taivastie 3,1530,VANTAA,Vantaa,Hotelldrift Vantaa Airport Oy Ab,31.05.2024,
1745591-7,30885013,BioRex Porvoo,Läntinen Aleksanterinkatu 1,6100,PORVOO,Porvoo,Bio Rex Cinemas Oy,28.06.2024,
0207220-0,1072094,Cafe Mertala,Mertajärventie 6,57220,SAVONLINNA,Savonlinna,Osuuskauppa Suur-Savo,31.08.2021,
3191718-8,30072475,Ravintola Almas,Vinsentinaukio 4,540,HELSINKI,Helsinki,Almas Oy,01.11.2021,
3149419-7,30883922,Kesä- ja Tapahtumaravintola Summer (Liperin Rantamakasiini),Heinävedentie 2 a,83100,LIPERI,Liperi,HyvänOlon Mylly Oy,26.04.2024,
3339313-8,30882400,Milli Miglia, Kalevankatu 36,180,HELSINKI,Helsinki,Finest Food Oy,04.07.2023,
3318981-5,30882103,Ingala café & bar,Bölentie 98,10210,INKOO,Inkoo,Fungbai Oy,15.06.2023,
3245734-7,1073151,Ravintola Trattoria Romana,Hämeenkatu 9,20500,TURKU,Turku,Salina Wines Oy,07.02.2022,
2737093-3,30881220,Viihdekeskus Hämpton,keksikatu 5,13110,HÄMEENLINNA,Hämeenlinna,Aulangon Seikkailupuisto Hugo,01.05.2023,
2400676-5,1037716,Karaoke Nightclub Sankaritar,Läkkisepänkuja 2,2650,ESPOO,Espoo,Sankaritar Oy,02.05.2011,
3479743-3,30886067,Cafferie Tammisaari,Museokatu2,10600,TAMMISAARI,Raasepori,Joyful Services Oy Ab,01.11.2024,
2981890-6,1064499,LocosCocos,Ollilanojankatu 2,84100,YLIVIESKA,Ylivieska,LocosCocos Oy,20.05.2019,
3467751-1,30886703,Le Bonne Pizza Restaurant,Valtakatu 32-34,45700,KUUSANKOSKI,Kouvola,LeBonne Oy,01.03.2025,
0155602-7,1044289,Juvenes Ravintola Saarni,Hatanpään valtatie 11,33100,TAMPERE,Tampere,Juvenes Oy,05.08.2013,
0208265-2,1044272,Liikennemyymälä ABC Joutsa,Köysitie 277,19650,JOUTSA,Joutsa,Osuuskauppa Keskimaa,01.03.2018,
3512999-8,30889246,Hugo's Bar,Annankatu 4,120,HELSINKI,Helsinki,Hugo's Bar Oy,09.12.2025,08.12.2026
2398085-7,1064526,Rantaterassi Reimari,Pulkkilantie 634,17320,ASIKKALA,Asikkala,Päijänteen Rantapalvelu Oy,17.04.2019,
2079717-6,1029556,Kokkikaksikko,peltotie 39 b,28400,ULVILA,Ulvila,MJS-Yhtiöt Oy,22.07.2008,
3368997-5,30882968,Q Hair,Malminrinne 2-4,100,HELSINKI,Helsinki,Rosalon Oy,01.10.2023,
2911819-2,1061186,Relaxin Cafe & Pub,Helsinginkatu 13,500,HELSINKI,Helsinki,Relax & Chill Bar,01.06.2018,
2290066-7,30888856,Hanko Aasia Iso Omena,Piispansilta 11,2230,ESPOO,Espoo,Sushi World Oy,09.10.2025,
2247580-8,30888141,Harlekiini,Porthaninkatu 5,530,HELSINKI,Helsinki,JAS TUONTI Oy,25.06.2025,
1048003-6,30173268,Old Story,Tikkuraitti 17,1300,VANTAA,Vantaa,Minttiravintolat Oy,13.03.2018,
0198262-4,30887106,TUS Sportstuga,Smedasvägen 87,68700,TEERIJÄRVI,Kruunupyy,Terjärv Ungdoms Sportklubb (TUS) rf,07.04.2025,
2058424-2,30887383,Bar-35 Oulunkylä,Käskynhaltijantie 11,640,HELSINKI,Helsinki,PK-35 Areena Oy,29.04.2025,
3494893-2,30887115,Bistro Saimaa,Brahentie 42,52300,RISTIINA,Mikkeli,Bistro Saimaa oy,21.04.2025,
2889430-9,1060314,Pub Sivuluisu,Jääkärintie 61,62420,KORTESJÄRVI,Kauhava,Juosvil Oy,27.04.2018,
2733141-6,1056746,Kioski & Ravintola Hoviherkku,Emännänkatu 1,20780,KAARINA,Kaarina,T.mi Shukri Peci Zhazha,01.03.2018,
3248063-5,1072884,Meidän Bar,Pupuhuhdantie 4,40340,JYVÄSKYLÄ,Jyväskylä,Barline Oy,31.12.2021,
3146804-4,30070369,Vidnäsin kartano,Viikinäistentie 203,19210,LUSI,Heinola,Kupari ja Pilli Oy,17.02.2021,
3242918-6,1073918,Sheng Long kiinalainen ravintola,Hallituskatu 31,90100,OULU,Oulu,SJ nortic Oy,01.05.2022,
2790104-4,1072410,Nobi,Itäinen Rantakatu 77,20810,TURKU,Turku,Turun Rantaravintolat Oy,09.11.2021,
3497044-3,30886842,Hawanna Summer Paradice,Linnankatu 12,57130,SAVONLINNA,Savonlinna,Saimaa Restaurants Oy,17.03.2025,
