asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3301008-8,1075636,Vibami,"Aleksanterinkatu 9, Lt 109C",100,HELSINKI,Helsinki,The New Vietnamese Kitchen Oy,01.12.2022,
1558670-2,1045314,Ravintola blanko,Aurakatu 1,20100,TURKU,Turku,Klonk Oy,01.11.1999,
3344290-5,1076802,Ravintola Vanha Hanski,Hulkkionlahdentie 495,42220,KAIPOLA,Jämsä,Ravintola Vanha Hanski Oy,15.04.2023,
3127709-6,1069233,Luckiefun's Sushibuffet,Lönnrotinkatu 2,100,HELSINKI,Helsinki,Daye Niub Oy,10.08.2020,
3197428-9,1074505,Cafe Pori Jazz,Koivikkopolku 4,28100,PORI,Pori,JesBar Oy,21.05.2022,
3471349-8,30886739,Autofixaus ja huolto Pekkala Oy,Jyväskyläntie 45,43500,KARSTULA,Karstula,Autofixaus ja huolto Pekkala Oy,01.04.2025,
2190495-7,30883949,Allin Pirtti,Sontulantie 3b2 ,37800,AKAA,Akaa,Souper Oy,25.04.2024,
2541566-7,30062091,San Marino Pizzeria,Antinkatu 2,100,HELSINKI,Helsinki,San Marino Pizzeria,01.09.2022,
3143581-6,1072069,Covid -19,Asemakatu 21,90100,OULU,Oulu,Phithat Oy,04.08.2021,
2259623-9,30888191,Kyläkasino,Sibeliuksenkatu 2,13100,HÄMEENLINNA,Hämeenlinna,Hämeenlinnan Torikahvila Oy,01.07.2025,
1577156-1,1046345,m/s Kaunis Veera,Lintusalo,52200,PUUMALA,Puumala,Puumalan Kalastus ja Matkailu,01.03.2018,
3239892-2,30072642,Hotel Royal Ruka,Mestantie 1,93830,RUKATUNTURI,Kuusamo,Royal Ruka Oy,02.11.2021,
0207220-0,30033952,"Sokos Hotel Vaakuna, Mikkeli",Porrassalmenkatu 9,50100,MIKKELI,Mikkeli,Osuuskauppa Suur-Savo,26.03.2018,
3140322-4,1074024,Könnölän matkailutila,Rimmiläntie 739,14450,RIMMILÄ,Hämeenlinna,Maatalousyhtymä  Könnölä,19.04.2022,
1018487-8,30063561,Colorado bar&grill,Hissitie 15,99130,SIRKKA,Kittilä,Unioninkadun keidas Oy,31.12.2018,
1949229-5,1040526,Nuppu,Läntinen Brahenkatu 12,510,HELSINKI,Helsinki,Kumari Oy,13.02.2012,
2423714-1,1046912,Kahvila-Ravintola Kierivä Kuu,Mäntyharjuntie 1641,47760,HUHDASJÄRVI,Kouvola,Huhdasjärven Kyläosuuskunta,09.06.2016,
3162067-5,30071063,Juopperin Kartano,Tervolantie 1967,95370,ITÄKOSKI,Keminmaa,Juopperin Kartano Oy,01.05.2021,
1931624-0,1021641,Bar 78,Töykkälänkatu 22,20540,TURKU,Turku,Sergei Filippov Sergei Filippov T:mi,05.04.2006,
3336702-8,30888235,Ye Shang Hai,Vähä Hämeenkatu 1,20500,TURKU,Turku,Hyvää Bubble Oy,04.07.2025,
0910332-1,1021822,Rytmikorjaamo,Vaasantie 11,60100,SEINÄJOKI,Seinäjoki,Seinäjoen Elävän musiikin yhdistys ry,15.02.2006,
1837957-3,30886464,Stensvik,Vanha Jorvaksentie 3,2320,ESPOO,Espoo,HOK-Elanto Liiketoiminta Oy,15.01.2025,
3433407-6,30888407,Balder Luxury Lodge Oy,Isotaalontie 65,99130,SIRKKA,Kittilä,Balder Luxury Lodge Oy,29.07.2025,
3346487-2,30883507,Lafal Meze & Grill,Hämeentie 6 B,530,HELSINKI,Helsinki,Serpelo Tmi,11.12.2023,
2514503-8,30053441,Ravintola Loppi Hovi,Yhdystie 8,12700,LOPPI,Loppi,Happysony Oy,01.04.2020,
1890962-6,1017402,Oriental Food Palace,Hämeenkatu 21-23,5800,HYVINKÄÄ,Hyvinkää,Oriental Link Trade Oy,01.03.2018,
0177803-3,1276430,Evijärven Alapään Nuorisoseura,Vasikka-ahontie 22,62540,VASIKKA-AHO,Evijärvi,Evijärven Alapään Nuorisoseura r.y.,01.03.2018,
2434417-4,1040209,Gondol,Iso Ylläksentie 44,95980,YLLÄSJÄRVI,Kolari,Suomen Elämysravintolat Oy,29.11.2011,
0155689-5,30029701,Ravintola Säde ja Kahvila Anna,Varalankatu 36,33240,TAMPERE,Tampere,Varalan Säätiö sr,06.04.2018,
2734934-1,30888435,Cafe Tiljan,Eerikinkatu 13,20100,TURKU,Turku,Impivaaran Tähdet Oy,04.08.2025,
2654392-7,30063659,Kälviän Kaffeli,Kälviänkatu 16,68300,KÄLVIÄ,Kokkola,Kälviän Kaffeli Oy,14.02.2019,
0873697-9,1043181,3533 Seinäjoki Areena,Kirkkokatu 23,60220,SEINÄJOKI,Seinäjoki,Compass Group Finland Oy,01.01.2013,
1837957-3,1027082,Chico's Viikki,Viikintori 3,790,HELSINKI,Helsinki,HOK-Elanto Liiketoiminta Oy,30.10.2007,
2222261-6,1031161,Keilahalli,Rukankyläntie 8,93830,RUKATUNTURI,Kuusamo,Rukatunturi Bowling Oy,01.03.2018,
1447914-7,1059810,Scandic Jyväskylä City,Väinönkatu 3-5,40100,JYVÄSKYLÄ,Jyväskylä,Scandic Hotels Oy,24.04.2018,
2249482-2,1068490,Laivaterassi Luna,Urho Kekkosen katu 18,87100,KAJAANI,Kajaani,Kajaanin Keila-Keskus Oy,10.06.2020,
2104560-3,30882143,Bettys Restaurang,Bagargatan 3,22270,ECKERÖ,Eckerö,ChefIQ,19.06.2023,
3466067-2,30889346,CHAO PHRAYA HELSINKI,Lönnrotinkatu 34,180,HELSINKI,Helsinki,Imperial Thai Cuisine Oy,12.01.2026,
0681239-2,1029999,Sampo Arctic Restaurant,Ajoksen syväsatama,94900,KEMI,Kemi,Kemin Matkailu Oy,23.09.2008,
2702097-6,1066748,Kallion Seurahuone,Fleminginkatu 6,530,HELSINKI,Helsinki,HKI KAARLE XVI Oy,01.11.2019,
2177009-8,1049066,Ritz,Kyrkoesplanaden 22 A,65100,VAASA,Vaasa,Skafferiet rf,01.03.2018,
2467766-5,1043058,ABC Utti,Lentoportintie 3,45410,UTTI,Kouvola,Kymen Seudun Osuuskauppa,01.01.2013,
3483862-9,30886326,Suburritos,Yrjönkatu 29,100,HELSINKI,Helsinki,Amcop Oy,01.01.2025,
2693079-1,1050978,Pub Kuru,Mäkikuja 1 B,34300,KURU,Ylöjärvi,TMP-Ravintolat Ky,01.07.2015,
2945341-7,1071882,Campen Food & Cake,Jakobstadsvägen 24,66900,UUSIKAARLEPYY,Uusikaarlepyy,Campen Food & Cake Ab Oy,15.08.2021,
3454098-8,30886527,Ravintola Ghandruk,VEIKKARINKATU 9,5840,HYVINKÄÄ,Hyvinkää,Twinning Oy,27.01.2025,
3166038-6,30073221,Street Food Factory,Runeberginkatu 1,48200,KOTKA,Kotka,Street Food Factory Oy,15.02.2023,
3287551-4,1076514,Koivu ja kuusi eräkeskus,Metsäkouluntie 60,31350,LIESJÄRVI,Tammela,Koivu ja Kuusi Eräkeskus Oy,29.01.2023,
0154374-4,1059519,"Linkosuon kahvila, Ratina",Vuolteenkatu 5,33100,TAMPERE,Tampere,Linkosuon Kahvila Oy,18.04.2018,
1505776-3,1060079,Shuang Long,"Kauppatori 1-3, Torikeskus",60100,SEINÄJOKI,Seinäjoki,Yuhai Oy,11.04.2018,
2677110-2,1050055,Bar Alanya,Satakunnankatu 26,33210,TAMPERE,Tampere,Tmi Farzad Yousefi,23.01.2016,
2439013-8,1067596,Ravintola Takumi,Ajomiehentie 1,390,HELSINKI,Helsinki,Ice Snow Oy ,07.02.2020,
1067260-1,30884725,Suikkalan Lava,Salosaarentie 923,56120,SALOSAARI,Ruokolahti,Ruokolahden Leijona Oy,10.06.2024,
2071980-5,30885732,Kuopion Klubi,Kuninkaankatu 10 ,70100,KUOPIO,Kuopio,VS Ravintolat Oy,01.10.2024,
0901705-2,1275124,Solf Ungdomsförening Rf.,Himisbackvägen 1,65450,SULVA,Mustasaari,Solf Ungdomsförening rf,01.03.2018,
2791989-3,30882486,Seurasaari Juhlatalo,Seurasaarentie 15,250,HELSINKI,Helsinki,Catering Ganache Oy,01.08.2023,
0212329-0,1026341,Original Sokos Hotel Albert,Albertinkatu 30,120,HELSINKI,Helsinki,Sokotel Oy,30.07.2007,
0629797-6,1009665,Hesburger Vuokatti,Ilkantie 8,88610,VUOKATTI,Sotkamo,Huippupaikat Oy,01.03.2018,
0971575-8,1033079,Ravintola Hollivoot,Rutakontie 42,74300,SONKAJÄRVI,Sonkajärvi,Sonkajärven Ajanviete Oy,11.12.2009,
3104121-9,1067384,Kahvila Ravintola Siilinpesä,Virttaanraitti 6 A,32560,VIRTTAA,Loimaa,JJ Maunu Oy,10.01.2020,
0884931-6,1027006,Ravintola Kasi-Blanca,Pyrstötiaisentie 1,28220,PORI,Pori,Kasi-Blanca Ky,28.09.2007,
0967166-0,1021747,Ravintola Wanha Kettu,Malminkatu 22,100,HELSINKI,Helsinki,Chandi Oy,01.02.2006,
1520950-1,30065523,Orimattilan Kotipizza,Erkontie 12,16300,ORIMATTILA,Orimattila,Tmi Marjut Åkerman,17.06.2019,
1591727-6,30063563,Lomakeskus Himmerki,Himmerki 8,97900,POSIO,Posio,Himmerkinlahti Oy,31.12.2018,
1535028-1,1076978,Viinikahvila Vintage,Alikyläntie 6,36600,PÄLKÄNE,Pälkäne,Progvation Oy,06.04.2023,
1157433-3,1777048,Kangasniemen karaoke-Karhunpesä,Marjoniementie 1,51200,KANGASNIEMI,Kangasniemi,Kangasniemen Karaoke-Karhunpesä Pizzeria-Pub,01.03.2018,
0210207-8,30887776,Nallikarin Minigolf,Toppilansaarentie 20,90510,OULU,Oulu,Voimistelu- ja urheiluseura Oulun Tarmo ry,23.06.2025,
2766730-7,30054493,Ravintola Khukuri,Runeberginkatu 34 D,6100,PORVOO,Porvoo,Khukuri Oy,29.11.2018,
2458663-2,30883194,Ristorante Renna,Keskuspuistokatu 6-8,94100,KEMI,Kemi,Hullu Poro Oy,01.11.2023,
1448074-6,1048801,India Tandoor,Salomonkatu 19,100,HELSINKI,Helsinki,Oy Black Tiger Ltd,29.05.2002,
2844520-4,1059332,Pobrecito,"Urho Kekkosen katu 1, LT 5.32D",100,HELSINKI,Helsinki,Pobre Filipino Oy,10.01.2018,
3352121-6,30883351,Ravintola Makia,Kauppakatu 12,95400,TORNIO,Tornio,Pitopalvelu Makia Oy,13.11.2023,
0881620-7,30882533,Kuusisto,Vanha Veckjärventie 7,6150,PORVOO,Porvoo,Shake Inn Oy,31.03.2024,
3275710-4,30887040,La Terrasse,Miina sillänpäänaukio,530,HELSINKI,Helsinki,Maliks Oy,01.04.2025,
2556157-6,1045344,Bistro Wool Factory,Kankurinkatu 4-6,5800,HYVINKÄÄ,Hyvinkää,Obel 1X Oy,16.09.2013,
2482284-2,1046849,Ravintola Alanya Adam's,Rautatienkatu 17,30420,FORSSA,Forssa,Alanya Adam's,15.04.2014,
2589863-8,1068491,Kulta Pizza-Grilli,Rounionkatu 63,37150,NOKIA,Nokia,Akbulut Oy Kulta Pizza-Grilli,01.06.2020,
1923863-3,30064213,Bar Korona,Puutarhakatu 26,20100,TURKU,Turku,Conatus Oy,01.04.2019,
3277563-6,1075883,Ravintola Mint,Kauppakatu 4,33520,TAMPERE,Tampere,Tamresta Oy,04.11.2022,
3260643-7,30073379,Kahvila Rakastan,Mannerheimintie 13 B,100,HELSINKI,Helsinki,Vegaanimummo Oy,01.03.2022,
2609716-2,30066439,Kotipizza Tammela,Kullervonkatu 9,33100,TAMPERE,Tampere,Grebmit Oy,16.09.2019,
3126980-3,1073428,SEO Alavieska,Hankalantie 2,85200,ALAVIESKA,Alavieska,Tarviketalli Oy,20.02.2022,
0304848-0,1050475,Kisalan Baari,Karvilantie 650,58160,KARVILA,Enonkoski,Karvilan Kivekkäät ry,01.03.2018,
2125051-9,1026652,Ravintola Status,Wahreninkatu 4 A,30100,FORSSA,Forssa,Forssan Viihde Oy,31.08.2007,
