asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
0986855-1,1036861,Liikuntakeskus Pajulahti,Pajulahdentie 167,15560,NASTOLA,Lahti,Kanresta Oy,22.01.2011,
2556439-8,30882891,Kulttuuritalo Monio,Pataljoonantie 6,4300,TUUSULA,Tuusula,Deli pH7 Oy,04.09.2023,
1014043-7,30069571,Archipelago Golf klubiravintola,Finbyvägen 87,21600,PARAINEN,Parainen,Archipelagia Golf Ab Oy,15.04.2021,
2011116-2,1034072,Kauppahotelli Grand,Hämeenkatu 4,15110,LAHTI,Lahti,Partner Hotelli Oy,10.02.2010,
2339300-3,1042912,Smakbyn,Slottsvägen 134,22520,KASTELHOLM,Sund,Nordiska Matkompaniet Ab,06.11.2012,
2476020-7,1041865,Kiinalainen Ravintola Lai Fu,Kirkkotallintie 4 A 1,2400,KIRKKONUMMI,Kirkkonummi,Hao Yun Oy,01.03.2018,
2652605-1,1067647,Kino Piispanristi,Jännekatu 2,20760,PIISPANRISTI,Kaarina,Cinemahouse Oy,01.03.2020,
2572160-5,30888599,Puolenhehtaarin lippakioski,Linnakoskenpuisto,250,HELSINKI,Helsinki,Café Maa,28.08.2025,27.08.2026
0773907-8,1058165,Sports Office,Raastuvankatu 15,65100,VAASA,Vaasa,Oy JM Sportsbar Ab,01.01.1960,
0168170-9,1063813,Ravintola Aittaranta,Vallilanaukio 1,80220,JOENSUU,Joensuu,Pohjois-Karjalan Osuuskauppa,24.04.2019,
3517197-7,30887174,Pancho Villa Rauma,Kauppakatu 3,26100,RAUMA,Rauma,Foodul Mexican Oy,24.04.2025,
2052894-5,1062827,Papa’s Pub Ravintola,Mannilantie 10,4400,JÄRVENPÄÄ,Järvenpää,Amed 21 Oy,12.10.2018,
3242002-6,30883745,Lanterna Hotel Restaurang Nogot,Parkvägen 5,21660,NAUVO,Parainen,Prissenterprise Ab,07.02.2024,
1508491-3,1072089,Lappia-talo,Jorma Eton tie 8 A,96100,ROVANIEMI,Rovaniemi,Lapin Alueteatteriyhdistys ry,01.09.2021,
1899744-3,1062657,Ravintola IL SICILIANO,Hermannin rantatie 5,580,HELSINKI,Helsinki,Rodicon Oy ,24.09.2018,
1109137-4,30883049,Karhu pub,Kiljusenkalliontie 2,73310,TAHKOVUORI,Kuopio,Bon Tahko Oy,03.10.2023,
1037091-0,1037770,Hotelli Merikotka aulabaari,Satamakatu 9,48100,KOTKA,Kotka,Kotkan Merikotka Hotelli Oy,01.06.2011,
2191849-4,1038593,Tehtaan kenttä,Tehtaankatu 9,37600,VALKEAKOSKI,Valkeakoski,FC Haka Oy,15.04.2018,
2847407-2,1064208,Tauko Baari,Jousenpuistonkatu 2,2200,ESPOO,Espoo,Sidewalk-Ravintolat Oy,20.03.2019,
2308643-3,30884886,Ravintola Bedo ,Rantatie 267 ,27800,SÄKYLÄ,Säkylä,Ravintola OR-ER avoin yhtiö,15.06.2024,
3536785-7,30888489,Ouluhalli / AC Oulu Volleyn ottelut,Ouluhallintie 20,90130,OULU,Oulu,AC Oulu Volley Oy,15.09.2025,30.04.2026
2370168-6,1037072,Virranpoika,Savonkatu 45,79100,LEPPÄVIRTA,Leppävirta,Tulikuuma Kumpu Oy,04.03.2011,
3580817-3,30889374,Dublin The Irish Pub,Eerikinkatu 8 ,20100,TURKU,Turku,Torimax Oy,01.02.2026,
2797757-5,1075114,Rouge Bar & Bistro,Torikatu 12,80100,JOENSUU,Joensuu,3 ystävää Oy,02.09.2022,
