asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3209013-5,1076739,KaBaLo,Palkkamäentie 1,64350,KARIJOKI,Karijoki,KaBaLo,01.04.2023,
3277495-9,1074135,Satama Kahvila-Ravintola Kermacotta,Kermanrannantie 48,79700,HEINÄVESI,Heinävesi,Kermacotta Oy,17.05.2022,
3493268-2,30887873,Project Liv Arena,Pinnonäsgatan,68600,PIETARSAARI,Pietarsaari,Ab PLA Restaurants & Events Oy,01.07.2025,
2520016-4,1043831,Taco Nito,Aurakatu 3,20100,TURKU,Turku,Taco Nito Oy,01.03.2018,
0242821-1,1033901,Ravintola Rosso Kokkola,Isokatu 4,67100,KOKKOLA,Kokkola,Osuuskauppa KPO,23.04.1990,
2567848-3,1051963,Nokian Jäähalli/ Keisarin kulma,Hinttalankatu 6,37100,NOKIA,Nokia,Nokian Pyry Hockey Oy,01.03.2018,
3561331-7,30888714,Poropadel Areenat,Temmeksentie 1 B,90400,OULU,Oulu,Poropadel Areenat Oy,01.10.2025,
2392166-2,30882584,Bar Olkkari,Myllärintie 4 lh 3,1800,KLAUKKALA,Nurmijärvi,TJP-Kaivin Oy,08.08.2024,
1607413-5,1061675,Fabrik Cafe',Itäinen Pitkäkatu 4,20520,TURKU,Turku,Unica Oy,12.07.2018,
3212353-1,1075725,Kipparin pizza,Koskelantie 24,90440,KEMPELE,Kempele,Sapuskapaja Oy,21.10.2022,
1573478-7,1070243,HELAXE,Fabianinkatu 1,130,HELSINKI,Helsinki,Aegis palvelut - Aegis services Ltd Oy,19.02.2021,
0658353-4,1065394,Wanha Mestari Seinäjoki,Keskuskatu 6,60100,SEINÄJOKI,Seinäjoki,Restel Ravintolat Oy,01.07.2019,
3529359-5,30887735,Erätupa ,Hiihtomäentie 38,800,HELSINKI,Helsinki,Persian Grill Express Oy,27.05.2025,
3110478-5,1072260,Cafe & Bar Pasila,Iso-Ylläksentie 1,95980,YLLÄSJÄRVI,Kolari,Polar Lake Resort Oy,01.09.2021,
1863525-8,1273188,Pub Jaska,Alhaistentie 7,21200,RAISIO,Raisio,Huhtica Oy,02.01.2004,
2257652-9,30887064,OuluZone kahvila /terassi,Kuusamontie 3250,91310,ARKALA,Oulu,Ni-Ro Oy,01.05.2025,
2820799-4,1059487,Naantalin Metsätähti ravintola,Immasentie 1,21110,NAANTALI,Naantali,Naantalin Metsätähti Oy,25.01.2018,
2652605-1,30885409,Kino Lumo,Savipajankatu 2b,24260,SALO,Salo,Cinemahouse Oy,19.07.2024,
3249308-1,1072976,Pizzeria Aromi,Tuhkimontie 2 A,820,HELSINKI,Helsinki,Tanriverdi avoin yhtiö,03.01.2022,
3338885-7,30076868,Paalasmaan Camping,Eteläpääntie 140,83910,PAALASMAA,Juuka,Leirintä Lintunen,01.06.2023,
3156754-4,1073335,Neidon Sydän cafe and vine,Kultakeronkatu 4,98530,PYHÄTUNTURI,Pelkosenniemi,Neidon Sydän Oy,14.02.2022,
0873697-9,1073848,3202 Dreams Cafe,Karaportti 4,2610,ESPOO,Espoo,Compass Group Finland Oy,25.04.2022,
2544403-8,1072892,Ravintola Brasa,Aleksanterinkatu 22,170,HELSINKI,Helsinki,Tuli tuli Oy,14.12.2021,
2908345-2,1063885,Padel Tampere,Kirkonmäenkatu 15,33700,TAMPERE,Tampere,Padel Tampere Oy,15.03.2019,
0987126-7,1046899,Ravintola Jokke`s Stube,Rantalankuja 24,73310,TAHKOVUORI,Kuopio,T:mi Jouko Liinamaa,01.05.2014,
2950899-1,30885258,Open Padel Myllypuro,Ratasmyllynkuja 1,900,HELSINKI,Helsinki,Nordic Padel Oy,01.08.2024,
2932782-4,1062910,Pyynikintorin Liha ja Kahvi,Pyynikintori 4-6,33230,TAMPERE,Tampere,Friest Oy,19.11.2018,
3150505-2,1076812,Kansanbaari Kangasala,Kuohunharjuntie 9,36200,KANGASALA,Kangasala,PDM Helsinki Oy,01.04.2023,
3106643-2,1068732,Nattarin pizza kebab,Holvastintie 6,36240,KANGASALA,Kangasala,Nattarin Pizza Kebab Oy,15.07.2020,
3251824-2,30888845,Seksico Tacos,"Saarisen piha, Kaivokatu 8",100,HELSINKI,Helsinki,Seksico Unlimited Oy,01.11.2025,
3176911-1,1070095,Ravintola Mama Mozza,Neilikkatie 6 LT 3,1300,VANTAA,Vantaa,Bibani Finland Oy,01.02.2021,
2659037-9,30885676,Hohtogolf Redi,"Hermannin rantatie 5, pl. 200",580,HELSINKI,Helsinki,Irti Maasta Oy,12.09.2024,
2734201-9,30071089,Malmin ravintolapalvelut,Vanha Helsingintie 11,700,HELSINKI,Helsinki,Perho Liiketalousopisto Oy,19.05.2021,
2338042-1,1076626,Isosaaren Kesäkahvila,Saksalantie 144,14960,PUUTIKKALA,Pälkäne,Jonna Winqvist,26.05.2023,
3428768-7,30886179,Jebulis bar,Kuonomäentie 1,1800,KLAUKKALA,Nurmijärvi,Jebulis Oy,25.11.2024,
1025413-5,1064368,Ravintola Piano,Pasilankatu 8,240,HELSINKI,Helsinki,IKIPIANO OY,12.04.2019,
2621719-5,1048071,Ravintola Sauraha,Asemakatu 10,90100,OULU,Oulu,Deurali Oy,14.07.2014,
2953757-3,1063742,Turengin Wanha Asema,Asematie 6,14200,TURENKI,Janakkala,Turengin Wanha Asema Oy,15.02.2019,
2785638-6,30888828,Noodle Master (Viherlaakso),Kavallinpelto 13 ,2710,ESPOO,Espoo,Noodle Master Oy,02.10.2025,
3460656-1,30888737,Restaurant Madame,Puutarhakatu 2,33100,TAMPERE,Tampere,Restaurant toujours Oy,01.10.2025,
0873697-9,1067876,3511 Min By Ydinkeskusta,Sepänkatu 20,90100,OULU,Oulu,Compass Group Finland Oy,06.04.2020,
3316659-2,30881549,My Pub Olohuone,Jousimiehentie 3,740,HELSINKI,Helsinki,P.K Helsinki Oy,17.05.2023,
2358288-3,1036682,Park Pub,Puistolantori 1,760,HELSINKI,Helsinki,BASSI OY,01.01.2011,
2797563-3,30883048,Pub Sarvi,Hillapolku 9,96500,ROVANIEMI,Rovaniemi,Occasional bar Oy,02.10.2023,
2378561-3,30883070,Ravintola Hertta,Koulutie 12,43500,KARSTULA,Karstula,Lounas - Kahvila Hertta Oy,01.10.2023,
2890802-9,30060424,Restaurang Theodors,Bromarvvägen 1844 B,10570,BROMARV,Raasepori,Respep AB,01.05.2018,
2404722-5,1061982,Ravintola Manna,Merimiehenkatu 18 LH2,150,HELSINKI,Helsinki,Cheon Ji Oy,20.02.2019,
2865503-3,1060506,Ravintola Vanha Silta,Tulkkilantie 26 B 2,32800,KOKEMÄKI,Kokemäki,Tmi Jade75,20.04.2018,
1045251-0,1027999,Ravintola Oklahoma,Tikkuraitti 15,1300,VANTAA,Vantaa,Restwo Oy,06.03.2008,
2244877-0,5072473,Baston Coktail Bar,"Unikkotie 11, LT1A, LT2A",1300,VANTAA,Vantaa,Mut-Is Oy,01.10.2021,30.09.2026
1108990-1,30883783,Pho Viet,Mikonkatu 8,100,HELSINKI,Helsinki,Cat Corporation Oy,15.02.2024,
2336377-9,1037794,Vapiano,Mikonkatu 15,100,HELSINKI,Helsinki,FIN-Piano Oy ,09.06.2011,
3239655-6,30888519,Watson Pub,Pohjantie 3,2210,ESPOO,Espoo,Huikee Consulting Oy,18.08.2025,17.08.2026
3572316-1,30889297,Bar Kuhina,Laviantie 5,29600,NOORMARKKU,Pori,MLA-ravintolat oy,22.12.2025,
2249888-2,1056417,Pub Vanha Nalle,Turuntie 10,13130,HÄMEENLINNA,Hämeenlinna,JMK Ravintolat Oy,01.04.2017,
3196418-7,30882120,Lazy Ass Ranch,Kullaan kirkkotie 28,29340,KULLAA,Ulvila,Lazy Ass Entertainment Oy,22.06.2023,
2936503-8,30072319,Green Hippo Töölö,Sandelsinkatu 2,260,HELSINKI,Helsinki,Green Hippo Töölö Oy,17.09.2021,
2290066-7,1049739,Hanko Aasia Jumbo,Vantaanportinkatu 3,1510,VANTAA,Vantaa,Sushi World Oy,01.03.2018,
2669582-4,30884109,Nakkilan Verstas,Pyssykankaantie 170,29270,HORMISTO,Nakkila,Nakkila Storage Oy,04.04.2024,
2264273-3,1074872,C Lounge ja Klubi,Ideaparkinkatu 4,37570,LEMPÄÄLÄ,Lempäälä,Classic Finland Oy,01.08.2022,
0934732-6,1064031,Hevosopisto,Opistontie 9,32100,YPÄJÄ,Ypäjä,Hevosopisto Oy,20.02.2019,
2025142-1,1022276,Taverna Anja,Tasankotie 13,45150,KOUVOLA,Kouvola,Treviso Oy,30.03.2006,
0581913-8,1026748,Aurinkobaletti,Itäinen Rantakatu 64,20810,TURKU,Turku,Aurinkobaletin Kannatusyhdistys ry,01.03.2018,
0833296-6,1031983,Julius Café,Torggatan 10,22100,MARIEHAMN,Maarianhamina - Mariehamn,Julles Café & Konditori Ab,01.11.2021,
3202245-8,30888611,Padel LPR Huhtiniemi,Pelitie 42,53810,LAPPEENRANTA,Lappeenranta,Padel LPR Oy,01.09.2025,
0155602-7,1054899,Ravintola Arvo ja Café Lea,Arvo Ylpön katu 34,33520,TAMPERE,Tampere,Juvenes Oy,01.10.2016,
0658353-4,1054357,O'Learys Iso Omena,Suomenlahdentie 1,2230,ESPOO,Espoo,Restel Ravintolat Oy,30.06.2021,
1829946-9,1771808,Haka-Pirtti,Koulukatu 8,48100,KOTKA,Kotka,Fritax Ky,01.04.2004,
