asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
0885744-7,1060623,Maut Coussicca,Nyyrikintie 2,33540,TAMPERE,Tampere,Maut Coussicca Oy,03.10.1978,
2832689-7,1073779,Ravintola Boka,Hämeentie 20,530,HELSINKI,Helsinki,Food Vibes Oy,01.06.2022,
3212162-4,1071582,IGUANA,Mannerheimintie 12,100,HELSINKI,Helsinki,AHA Hospitality Oy,01.07.2021,
1223540-5,1020408,Kellariravintola Paimenpoika,Kerisalonsaarentie 838,79600,JOROINEN,Joroinen,Aimo A.V. Hämäläinen,01.08.2005,
0133627-8,1273740,Rantaravintola,Venesjärventie 880,38760,VENESJÄRVI,Kankaanpää,Kankaanpään seudun Leisku r.y.,01.03.2018,
2033337-1,1068027,Beach House Saimaa,Alminraitti 13,55320,RAUHA,Lappeenranta,Holiday Club Resorts Oy,01.06.2020,
2803678-5,30887744,Rauhantorppa,Anttilantie 605,46230,VALKEALA,Kouvola,Hypowell Oy,02.06.2025,
0567671-2,1271561,Lähi ABC! Teuva,Mikkiläntie 11,64700,TEUVA,Teuva,Etelä-Pohjanmaan Osuuskauppa,01.03.2018,
1782007-2,1036935,Stairs to Heaven,Kyläsepäntie 14,26510,RAUMA,Rauma,Stairs to Heaven ky,15.10.2003,
1636064-1,1046440,Tårget,Linnankatu 3,20100,TURKU,Turku,CT-Ravintolat Oy,01.03.2014,
3164973-4,1069784,Ravintola Trishuli,Iivisniemenkatu 2 D,2260,ESPOO,Espoo,Sushmita Oy,01.12.2020,
2675383-6,30887941,Manso Camping,Kolmostie 1891,39500,IKAALINEN,Ikaalinen,Mansommer Oy,16.06.2025,
2183683-5,1076831,Hartolan Pizza Kebab,Keskustie 52,19600,HARTOLA,Hartola,Tmi Kemalpasa,13.03.2023,
0187614-3,1070598,SuperPark Oulu,Tyrnäväntie 16,90400,OULU,Oulu,Osuuskauppa Arina,01.04.2021,
2938392-2,30888691,Camping Minigolf & Bar,Iso Roobertinkatu 4 ,120,HELSINKI,Helsinki,NoHo Partners International Oy,01.10.2025,
2931176-9,30883673,Wu Kong Sushi Japanilainen Ravintola,Yrjönkatu 14,28100,PORI,Pori,Inspon Group Oy,24.01.2024,
0824919-3,30888533,Palokärki - tikkabaari,Kauppakatu 16,33210,TAMPERE,Tampere,Euroresta Oy,15.09.2025,
1580816-8,1073429,Padelpoint Konala,Malminkartanonkuja 2,390,HELSINKI,Helsinki,Taranet Oy,07.03.2022,
2705364-7,30881187,Sandwich Bros,Tohvelantie 5,14200,TURENKI,Janakkala,Scandinavian Kings avoin yhtiö,01.05.2023,
2916903-7,1065575,Pub Kujakolli,Tahmelan viertotie 2,33240,TAMPERE,Tampere,H5 Ravintolat Oy,01.07.2019,
3316886-2,1076693,Ravintola Norsu,Linnankatu 27,20100,TURKU,Turku,AROORAN,04.03.2023,
2089477-7,1040621,Fryysarinranta,Jokikatu 20,6100,PORVOO,Porvoo,Porvoon Laituri Oy,15.04.2012,
2869655-6,30885912,Thai Manora,Mannerheimintie 49 LH 2,250,HELSINKI,Helsinki,Ronphibun Oy,10.10.2024,
1443264-8,30886883,Aperte,Mannerheimintie 56,260,HELSINKI,Helsinki,Linresta Oy,24.03.2025,
3353598-4,30882645,POCHA! Korean Street Dining,Kulmavuorenkatu 7,500,HELSINKI,Helsinki,Pocha Oy,26.07.2023,
3432903-1,30885092,Royal Nepal,Sturenkatu 32-34,550,HELSINKI,Helsinki,Lekali Oy,24.06.2024,
2664020-9,1049535,Stadin Panimobaari,"Kaasutehtaankatu 1, rakennus 6",540,HELSINKI,Helsinki,Stadin Panimobaari Oy,12.02.2015,
2528448-4,1054347,Ravintola Il Treno,Pallaksentie 4,970,HELSINKI,Helsinki,Manraj Oy,01.08.2016,
3332543-4,1076609,The French Café,Kitkantie 2,93600,KUUSAMO,Kuusamo,The French Café Oy,03.04.2023,
1700217-6,30888882,Villa Ankkuri,Ankkurikatu 24,10900,HANKO,Hanko,Hangon Rantaravintolat Oy,18.10.2025,
1013082-9,1796017,Kuorsalon Seuratalo,Kuorsalo,49840,MÄNTLAHTI,Hamina,Kuorsalo-Seura ry,01.03.2018,
3478197-6,30886256,bistro kirkkonummi,Limnellin aukio 6,2400,KIRKKONUMMI,Kirkkonummi,xixi Oy,01.12.2024,
2560615-6,1069174,Il Posto Lielahti,Antti Possin kuja 1,33400,TAMPERE,Tampere,Dinori Oy,06.08.2020,
2300444-2,1034032,Wanha Tuoppi,Kauppakatu 42-44,78200,VARKAUS,Varkaus,Kahape Oy,02.02.2010,
3377801-1,30886652,Ester's Grocery,Korkeavuorenkatu 6,150,HELSINKI,Helsinki,Ester's Grocery Oy,14.02.2025,
1932086-4,1023702,Keiteleen Lossisaari,Sininentie 205,72600,KEITELE,Keitele,Keiteleen Luontomatkailu Oy,01.03.2018,
0658353-4,30057487,"Wanha Mestari Tammela,",Tammelan Puistokatu 27,33500,TAMPERE,Tampere,Restel Ravintolat Oy,01.05.2018,
1515235-7,30888888,Cafe Ruukitar,Pälkkärinkuja 2 C,45700,KUUSANKOSKI,Kouvola,Tuomon Luomu Oy,01.11.2025,
2672042-8,1061620,Kulmakonditorio Kerava,Kauppakaari 8,4200,KERAVA,Kerava,Kulmakonditoria Kerava Ky,03.10.2018,
2927865-5,1070649,Super Bowl,"Hietalahden kauppahalli, Lönnr",180,HELSINKI,Helsinki,Tasty Stop Oy,13.04.2021,
2292104-6,1070163,Scottish arms,Rajamännynahde 2,2710,ESPOO,Espoo,Sorena Oy,01.02.2021,
3434763-5,30884721,Le Grec,Rikhardinkatu 2,130,HELSINKI,Helsinki,Senios Oy,01.07.2024,
2056431-3,30032907,Talon Café,Hämeentie 2 B,530,HELSINKI,Helsinki,Keep it Coming Oy,28.05.2020,
3385787-9,30883515,Vuohimäki Camping,Pärnäläntie 21,57600,SAVONLINNA,Savonlinna,Vuohimäki Camping Ravintolat Oy,01.05.2024,
3358172-9,30881978,Ravintola Turkinpippuri,Uudenmaankatu 29 d ,5800,HYVINKÄÄ,Hyvinkää,PEPETURCO Oy,01.07.2023,
2764099-9,30887881,Järvenperän Ravintola,Kylänportti 12 B-C,2940,ESPOO,Espoo,Järvenperä Fast Food Oy,01.07.2025,
2040880-4,1052714,KALLIOLAN KIOSKI-GRILLI,Kiventöyryntie 4,15270,KUKKILA,Hollola,Kalliolan kioski-grilli,01.03.2018,
2994567-3,30065531,Teerenpeli Oulu,Kauppurienkatu 8,90100,OULU,Oulu,FG Resta Oulu Oy,08.07.2019,
2210462-8,30887059,Maltainen Minuutti,Elielinaukio 5,100,HELSINKI,Helsinki,Restafix Oy,15.04.2025,
3508419-5,30889296,Uittotunnelin Kahvila & Bistro,Sahansaarenkatu 20,33230,TAMPERE,Tampere,Raflaparonit Oy,01.01.2026,
2557681-5,30889005,Hemingway's Kuopio,Kauppakatu 18,70100,KUOPIO,Kuopio,Kuopion Pop-Up Oy,11.11.2025,
1837957-3,1040399,Rosso Hyvinkää,Kauppakuja 2,5800,HYVINKÄÄ,Hyvinkää,HOK-Elanto Liiketoiminta Oy,15.03.2012,
2327170-0,30061452,Golfravintola Tornio,Näräntie 1,95430,TORNIO,Tornio,Tornio Golf Oy,01.06.2018,
2521131-4,1043307,Kahvila-ravintola Helarinne,Kirkkotie 15 B,25390,KIIKALA,Salo,kahvila-ravintola Helarinne Oy,01.02.2013,
3021011-3,30886428,Ravintola Piemonte,Suvantokatu 9,33100,TAMPERE,Tampere,Saarikoski Ravintolat OY,08.01.2025,07.01.2027
1039704-8,30083011,Ravintola Carusel,Merisatamaranta 10,150,HELSINKI,Helsinki,Ar-Na-La Oy,29.04.2020,
0999022-3,30884628,Restaurant Stallgården,Lentokentäntie 369,68500,KRUUNUPYY,Kruunupyy,Ab Kokkolan Latera Oy,24.05.2024,
3321805-7,30888543,M.S Kingh,Lammaslammentie 9,1710,VANTAA,Vantaa,Maa Durga Oy,21.08.2025,31.01.2026
1745591-7,1073132,BioRex Verkatehdas,Paasikiventie 2,13200,HÄMEENLINNA,Hämeenlinna,Bio Rex Cinemas Oy,14.01.2022,
0887562-9,1052104,Beana Laponia,Lastenkodintie 53,97340,MELTAUS,Rovaniemi,Huskypoint Oy,23.11.2015,
3175953-8,30070426,Ravintolalautta Kaljaasi,Lohjanjärvi,8700,LOHJA,Lohja,HappySun Oy,30.04.2021,
3211760-9,1071572,Linnanmaan Rantalentopallo-,Paavo Havaksen tie 2,90570,OULU,Oulu,Sijoitus Tiermas Oy,05.07.2021,
2765685-1,1054806,BasBas Kulma,Tehtaankatu 27-29,150,HELSINKI,Helsinki,BasBas Kulma Oy,05.09.2016,
2110952-3,1048500,Skogster,Raatihuoneenkatu 8,13100,HÄMEENLINNA,Hämeenlinna,Skogster Ravintolat Oy,15.10.2014,
0116857-7,1025470,Ryhmäteatteri,Helsinginkatu 25,510,HELSINKI,Helsinki,Ryhmäteatterin kannatus ry,20.04.2007,
3117460-1,30885223,Tian Tian,Vaasankatu 6,500,HELSINKI,Helsinki,Beijing Jiaozi King Oy Ltd,25.07.2024,
2823763-2,1069157,Hansasali,Puutarhakatu 45,20100,TURKU,Turku,Pegasus-ravintolat Oy,20.08.2020,
1447914-7,1059830,Scandic Mikkeli,Hallituskatu 9,50100,MIKKELI,Mikkeli,Scandic Hotels Oy,10.04.2018,
2922601-1,30071123,Bamboo Palace,Keskuskatu 4,4600,MÄNTSÄLÄ,Mäntsälä,Li - Chen Oy,01.06.2021,
3480456-8,30886345,Ginza Sushi Bar,"Yliopistonkatu 6, 00100 Helsinki",100,HELSINKI,Helsinki,Asean Bistro Oy,16.12.2024,
3518079-3,30887524,Adele's Bites & Vibes,Ukkohallantie 5,89400,HYRYNSALMI,Hyrynsalmi,Adeles Oy,01.06.2025,
3107323-7,30886717,Ravintola Spoon,Virpiniementie 501,90810,KIVINIEMI,Oulu,Koksi Oy,15.04.2025,
1824178-5,1074851,Jolla,Ruotsinsalmenkatu 12,48100,KOTKA,Kotka,Mereta Oy,23.06.2022,
0313562-1,30070600,Häyrylänranta,Satamatie 60,44300,KONNEVESI,Konnevesi,Hotelli-Ravintola Mierontie Oy,01.04.2021,
1014246-7,1084042,Kalliojärven Viihdekeskus,Kortesluomantie 146,61500,ISOKYRÖ,Isokyrö,Kalliojärven Camping-Alue Oy,01.10.1996,
1615548-8,1005231,Bar Fellows,Mannerheimintie 64,260,HELSINKI,Helsinki,Bar Fellows Oy,19.10.2000,
2122080-3,1044029,Next Step,Ahlströminkatu 17,78250,VARKAUS,Varkaus,Savon ravintolapalvelut Oy,17.05.2013,
0142122-9,1048849,Ravintola Runostuoppi,Munterinkatu 15,20360,TURKU,Turku,Turun Osuuskauppa,01.01.2015,
1662633-1,1066070,La'Mamma Meze,Aleksis Kiven tie 5,4200,KERAVA,Kerava,Ravintola A. Laitinen,15.08.2019,
3191094-7,1070616,Salon Peach,Fredrikinkatu 31,120,HELSINKI,Helsinki,Salon Peach Oy,19.03.2021,
2067202-3,1054362,Bistro Popot,Rautatienkatu 26,15110,LAHTI,Lahti,Ravintola Roux Oy,01.08.2016,
2783260-8,1060131,Kiinalainen Ravintola Iso Panda,Hanhitie 5 A 10,90150,OULU,Oulu,Xiong Jing Oy,12.03.2018,
3204801-7,1071863,Pincho Nation,Aleksanterinkatu 1,15110,LAHTI,Lahti,Pincho Nation Finland Oy,13.08.2021,
