asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3271628-1,30883903,Horn Pub,Tampereentie 5 ,20300,TURKU,Turku,Broline Adventures Oy,05.03.2024,
2707594-2,30881222,Manneken peace bar & art,Läntinen Brahenkatu 8,510,HELSINKI,Helsinki,C.K. bullion Oy,25.04.2023,
1752839-7,1042815,Newroz Pizzeria Kebab,Liepeentie 10,41400,LIEVESTUORE,Laukaa,Tmi Medya,01.03.2018,
1580530-3,30888952,Hotel Jollasranta,Jollaksentie 89,850,HELSINKI,Helsinki,Joloscom Oy,03.11.2025,
3321805-7,30883212,M.S KINGH,Haapasaarentie 3,960,HELSINKI,Helsinki,Maa Durga Oy,01.11.2023,
2538283-4,1070965,M/S Isosaari II,Kauppatori/Lyypekinlaituri,130,HELSINKI,Helsinki,FRS Finland Oy,04.05.2021,
0208875-5,1278098,Kalliopaviljonki,Kalliotie 1,69600,KAUSTINEN,Kaustinen,Kaustisen Nuorisoseura r.y.,01.03.2018,
3013213-5,30885302,Seksico Tacos Itis,"Kauppakeskus Itis, Itäkatu 1-7",930,HELSINKI,Helsinki,Seksico Foods Oy,22.07.2024,
2997928-3,1069320,Makujen Paljetti,Kempeleentie 7 B,90400,OULU,Oulu,Lounasravintola Paljetti Oy,25.08.2020,
2693463-7,1059046,Ruokastudio Almanakka,Kopernikuksentie 1,130,HELSINKI,Helsinki,Gastronomique Oy,05.12.2017,
2239581-6,1071489,Kaivo Bar & Cafe,Kaivokatu 13,21100,NAANTALI,Naantali,Asuntohotelli Kaivo Oy,14.07.2021,
2724406-4,1064964,Ravintola Hetki,Alatie 8,77700,RAUTALAMPI,Rautalampi,Ravintola Serafi Oy,21.10.2019,
2422565-0,1040072,Hossan Lomakeskus,Hossantie 278 A,89920,RUHTINANSALMI,Suomussalmi,Norwide Finland Oy,16.12.2011,
2624185-7,1047656,Ravintola Hunter,Neulamäentie 8,70150,KUOPIO,Kuopio,PEO Ravintolat Oy,01.07.2014,31.01.2026
0703823-9,30882566,Kahvila Welldone Mosa ,Erätie 3,730,HELSINKI,Helsinki,Oy ATV-Marketing Ab,01.08.2023,
3282283-4,30887086,Piazza Italia Itis,"Itäkatu 1-7, 1.kerros (Kauppahalli Itis)",930,HELSINKI,Helsinki,Solsam Oy,04.04.2025,
0750509-5,1051039,Ravintola NJK,Valkosaari,140,HELSINKI,Helsinki,Royal Ravintolat Oy,02.01.2003,
3396198-3,30885189,Ravintola Mussalo,Saarinkotie 1,48310,KOTKA,Kotka,Erisa Mussalo,01.07.2024,
