asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
1897341-7,1017148,Imatran uimahallikahvio,Kotipolku 2,55120,IMATRA,Imatra,Imatran Uimahallikahvio P.A.T. Ky,01.03.2018,
2637418-2,1063060,Fuchka,Nummikatu 32,90100,OULU,Oulu,Rocky Rashed Reza Tmi,19.11.2018,
1908528-6,30887105,Vihtajärven matkailu,Vihtajärventie 49 a,73620,KORTTEINEN,Kaavi,Kaavin erä- ja seikkailupalvelut,10.04.2025,
2817333-3,30886592,Merita pizza Ruukki,Ruukinkuja 6A,92400,RUUKKI,Siikajoki,Merita Pizza Ruukki avoin yhtiö,07.02.2025,
3245832-3,30884654,FLOU,Ratinan rantatie 6,33100,TAMPERE,Tampere,Floating Investments Oy,10.06.2024,
3092782-7,1068492,TRIB3 Helsinki,Runeberginkatu 44,260,HELSINKI,Helsinki,FitCrew Oy,11.06.2020,
1196946-6,1028555,Mansikkaniemen Lomakeskus,Pölkkyinniementie  23,58900,RANTASALMI,Rantasalmi,Mansikkaniemen Lomakeskus,06.05.2008,
2869883-4,1075987,Jäähalli,Rajavartiostonkatu 1,8100,LOHJA,Lohja,HN-Ravintolat Oy,01.12.2022,
2784704-1,1072628,Ravintola Marsi,Kauppakatu 29,80100,JOENSUU,Joensuu,The Everest Cuisine Oy,19.11.2021,
3006772-4,1068219,The Old Irish Pub Helsinki,Mannerheimintie 12,100,HELSINKI,Helsinki,Old Irish Pub Finland Oy,01.06.2020,
2244296-9,1031576,Wictory Ravintola,Varppeenaukio 9,21200,RAISIO,Raisio,Wictory Ravintola Oy,01.03.2018,
3138134-4,1068774,Ravintola Filipof,Torikatu 10,80100,JOENSUU,Joensuu,Rautakyökki Oy,10.08.2020,
2384182-2,1051929,FreshStop Kisahalli,Paavo Nurmen kuja 1 D,250,HELSINKI,Helsinki,Enter Ventures Oy,01.03.2018,
3009101-1,30066207,Route 12 Grilli,Satakunnankatu 1,27510,EURA,Eura,Zevilla Oy ,10.09.2020,
3155349-2,30069657,HIISI Taproom & Bottleshop,Lutakonaukio 3,40100,JYVÄSKYLÄ,Jyväskylä,Ravintolayhtiö Hiisi Oy,03.11.2020,
0212329-0,1069127,Radisson Blu Hotel Oulu,Hallituskatu 1,90100,OULU,Oulu,Sokotel Oy,17.08.2020,
2434330-7,1047851,"Stefan's Steakhouse, Jyväskylä",Ilmarisenkatu 2,40100,JYVÄSKYLÄ,Jyväskylä,SRMax Oy,03.07.2014,
1017578-7,30061177,White Reindeer,Nuuksiontie 83,2820,ESPOO,Espoo,Sea & Mountain Adventures Paul Almén Oy,23.05.2018,
2900186-7,30060085,Café Gamla Banken,Iniövägen 577,23390,INIÖ,Parainen,Gamla Banken,07.05.2021,
2694737-4,1051075,Himalayan Kitchen Restaurant,Eerikinkatu 5,20100,TURKU,Turku,Raj Groups Oy,01.07.2015,
3273222-2,30885852,Pub Lämäri,Tapiontie 69,48600,KOTKA,Kotka,Cafe Crisp n' Sweet Oy,03.10.2024,
2109974-0,30888700,Cafe & Butik Kuopan Tila,Kiljaanintie 3 ,95970,ÄKÄSLOMPOLO,Kolari,Kuopan tila Oy,31.10.2025,
1609711-8,1076006,Kiireen Raja Leipomo-Kahvila,Keskustie 32,97700,RANUA,Ranua,Tmi Sauli Saarijärvi,17.11.2022,
2797563-3,1058398,Cafe Bar Soikka,Museotie 38,95700,PELLO,Pello,Occasional bar Oy,15.09.2017,
3202504-2,1070846,Jet Set Bar,Kauppakatu 35,80100,JOENSUU,Joensuu,Jet Set Bar Joensuu Oy,21.05.2021,
1581273-0,1047206,Neiturin Kievari,Vesannontie 742,44350,ISTUNMÄKI,Konnevesi,Bittiriihi Oy,01.03.2018,
0961304-9,30796200,Bistro Santalahti,Santalahdentie 150,48310,KOTKA,Kotka,Santalahti Resort Oy,01.01.2023,
2907382-8,1061532,Pulina Pub,Raunistulan Puistotie 78,20300,TURKU,Turku,Pöllölaakso Oy,01.07.2018,
3474376-9,30888836,Ravintola Jäkälä,Vuontispirtintie 267,99340,RAATTAMA,Kittilä,Kelo Resort Oy,20.10.2025,
0864235-8,1067421,Hophaus Kuopio,Kauppakatu 39,70100,KUOPIO,Kuopio,Osuuskauppa PeeÄssä,14.02.2020,
2044725-6,1024892,Kukkolan Koski-Catering,Kukkola,95520,TORNIO,Tornio,Kukkolan Koski-Catering,02.04.2012,
3281622-3,1074312,Maya's,Souranderintie 2 D,37100,NOKIA,Nokia,Tehdassaaren Kahvila Oy,19.05.2022,
3159106-9,1069699,Luckiefun's Sushibuffet Iso Omena,Piispansilta 11 LT LG-152,2230,ESPOO,Espoo,Letian Oy,01.12.2020,
2965015-4,1072550,Rose Sushi,Ouluntie 13,92130,RAAHE,Raahe,Jing Men Oy,04.11.2021,
2893214-1,30888785,The Tart,Yrjönkatu 2 ,120,HELSINKI,Helsinki,Tapahtuma Kartano Oy,02.10.2025,01.10.2026
