asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3465104-7,30886140,Minjun Kim,Åkerlundinkatu 8,33100,TAMPERE,Tampere,Sinabro Oy,30.11.2024,
2366480-3,30889084,Ravintola Oasis,Mechelininkatu 1,180,HELSINKI,Helsinki,Nordrest Finland Oy,01.12.2025,
3419569-4,30885809,Humppa,Kirkkokatu 7,48100,KOTKA,Kotka,Ad Astra Ravintolat Oy,03.10.2024,
3523848-1,30888587,Kajaanin Jäähalli,Kuntokatu 13,87100,KAJAANI,Kajaani,Sotkamon Tapahtumapalvelu Otso Oy,01.09.2025,
3215809-9,1071549,Smokehouse 299 Tyrnävä,Vanhatie 3,91800,TYRNÄVÄ,Tyrnävä,Foodium Oy,09.07.2021,
2345117-0,1035698,Seo Piippola,Pihkalantie 1,92620,PIIPPOLA,Siikalatva,Huoltamo-kahvio Takkinen ja Kotisaari Avoinyhtiö,01.03.2018,
3353177-2,30882407,UkkoHiisi,Repohäikäntie 40,72210,TERVO,Tervo,UkkoHiisi Resort Oy,05.07.2023,
1070972-6,1053937,Kahvila-Ravintola Antika,Väinölänkatu 1,33100,TAMPERE,Tampere,Ravintola Antika,01.06.1982,
2765809-9,1056959,Strandkiosken,Bredhällsvägen 257,66220,BERGÖ,Maalahti,Fma H. Granlund,01.03.2018,
9039623-9,1017304,Café Arken,Fabriksgatan 2,20500,TURKU,Turku,Kafé Gadolinia Kommanditbolag,01.09.2004,
2628156-8,1070862,Ravintola Esmira,Opintie 6,53600,LAPPEENRANTA,Lappeenranta,Ozguc Oy,19.04.2021,
0155369-4,30888964,Osku Linnavuori,Moottorikatu 7,37240,LINNAVUORI,Nokia,Lentokonetehtaan Ravinto-osuuskunta,24.11.2025,
1232250-9,1056922,Bar Pihlaja,Vesitorninkatu 16,50130,MIKKELI,Mikkeli,MP Pihlaja,01.03.2018,
0132327-4,30884382,Nelospesä,Koulutie 1,27100,EURAJOKI,Eurajoki,Eurajoen Veikot ry,01.05.2024,
1114699-6,1472712,Niitty-Seppälän Kesäkahvio,Pälkänevedentie 135,36600,PÄLKÄNE,Pälkäne,Niitty-Seppälän tila,01.03.2018,
2587625-2,1065612,Ainoa Winery,Rekolanpolku 65,15700,LAHTI,Lahti,Finnviini Oy,19.06.2019,
3108786-6,1068620,Mathildedalin Keskuspuisto,Tullintie 2,25660,MATHILDEDAL,Salo,Matildan Liikuntapuisto Oy,15.06.2020,
3362508-2,30889434,Naantalin Urheilutalo,Kuparivuorentie 5,21100,NAANTALI,Naantali,Santala B&L Oy,28.02.2026,28.02.2026
2996895-5,1066174,Ravintola Kaari Konnichiwa,Kantelettarentie 1,420,HELSINKI,Helsinki,Dalai Oy,15.09.2019,
2449777-9,1056085,Ravintola Miekkaleijona,Vaajakatu 2,33720,TAMPERE,Tampere,Leijona Catering Oy,08.02.2017,
0822757-6,1051144,Ravintola Populus,Aleksis Kiven katu 22,500,HELSINKI,Helsinki,Service Restaurants Oy Oulu,01.01.1960,
1700076-0,30886558,Alman Resiina,Ruukintie 2,60100,SEINÄJOKI,Seinäjoki,Oy Alma Group Hotels Ab,01.02.2025,
3580278-3,30889337,Tuhannen Taalan Paikka,Urheilutie 54,86600,HAAPAVESI,Haapavesi,Tuhannen Taalan Paikka Oy,01.02.2026,
3498781-9,30886593,Grilli Ribis,Kauppamiehentie 1,2100,ESPOO,Espoo,Tillintallin ravintolat Oy,06.02.2025,
3019158-1,1068335,Cafe Sali,Kuninkaankatu 22,26100,RAUMA,Rauma,Cafe Sali Rauma Oy,07.10.2021,
1513319-9,1075238,Nibacos Vilttiketju Club,Teknologiakatu 8,67100,KOKKOLA,Kokkola,Nibacos Kokkola ry,21.11.2024,
3505626-6,30887719,Viinibaari Vox,Pakkahuoneenkatu 8,90100,OULU,Oulu,Aamunvoitto Oy,02.06.2025,
2429298-4,30881735,Pore,Hämeentie 8,30100,FORSSA,Forssa,Vorssan Kellari Oy,05.06.2023,
2782476-3,1062392,Pikseli Arcade Redi,Hermannin rantatie 5 LT 3A-001,580,HELSINKI,Helsinki,Virva VR Oy,01.10.2018,
1985906-9,1034415,Biitsi.fi Salmisaari,Energiakatu 3,180,HELSINKI,Helsinki,Suomen Beach Volley Oy,30.10.2018,
3494462-4,30889350,Puu-Anttila,Suurlohjankatu 2 ,8100,LOHJA,Lohja,Bite me Oy,13.01.2026,
2091059-7,30888879,Ravintola Kieppi Kitchen & Bar,Raitopolku 1,99830,SAARISELKÄ,Inari,Saariselän Tunturipalvelut SATUPA Oy,01.11.2025,
1435188-0,1054015,Bistro cafe' & Catering,Algotsvägen 2,64200,NÄRPIÖ,Närpiö,Andreas Café & Catering,10.08.2016,
2557535-3,30047793,Porvoon kalatalo,Mestarintie 14,6150,PORVOO,Porvoo,Oy Fishpoint Finland Ab,01.05.2018,
2348400-1,1073469,Wanhan Paikan Kota,Vanhanpaikantie 126,58520,HIUKKAJOKI,Savonlinna,Foreiner Oy,01.05.2022,
3342282-4,30076691,Wine & Cafe Jokiranta,Melakuja 3,17200,VÄÄKSY,Asikkala,Wine & Cafe Jokiranta Oy,06.03.2023,
2334826-1,1075562,Makaronitehdas Forum,"Mannerheimintie 18, alakerta",100,HELSINKI,Helsinki,Hangon Makaronitehdas Oy,01.11.2022,
2808733-9,1056017,Pub Wiljami,Rauhankatu 11,13100,HÄMEENLINNA,Hämeenlinna,Hämeen Raflat Oy,14.02.2017,
0155602-7,1070106,Yliopiston Ravintola,Kalevantie 4,33100,TAMPERE,Tampere,Juvenes Oy,29.01.1998,
2189879-6,1051814,Hotelli Cityhovi,Nortamonkatu 18,26100,RAUMA,Rauma,Hotelli Vanha Rauma Oy,18.10.2015,
2840897-2,1057917,Keila- ja Liikuntakeskus Liike,Untamonkatu 8,74120,IISALMI,Iisalmi,Keila- ja Liikuntakeskus Liike Oy,01.03.2018,
3339889-5,30887235,Grand Salo,Asemakatu 5,24100,SALO,Salo,MS Kitchen Oy,17.04.2025,
3432547-9,30889202,Ravintola Lakisto,Rinnekodintie 23,2980,ESPOO,Espoo,Demirtas Restaurants Oy,01.03.2026,
3540735-3,30888356,Kaffibaari Makasiini Oy,Vanhan Paukun tie 1,62100,LAPUA,Lapua,Kaffibaari Makasiini Oy,18.07.2025,
3280815-1,30882272,Trattoria Aroma,Caloniuksenkatu 10 ,100,HELSINKI,Helsinki,RONOMIA OY,01.07.2023,
2142456-6,30884887,Meyer Hotel,Pikkuympyräkatu 5,49400,HAMINA,Hamina,Rakennus- ja insinööritoimisto DualTech Oy,07.06.2024,
0159261-8,1776551,Tölli-kahvio,Torikatu 7,55800,IMATRA,Imatra,Imatran Sosialidemokraatit ry,01.03.2018,
2692285-5,1072643,Bar & Bistro Route 431,Otavantie 1,50670,OTAVA,Mikkeli,Jotun Texas BBQ Oy,01.12.2021,
3102958-6,30883334,Padel Lahti - Salpausselkä Park,Hämeenlinnantie 59,15800,LAHTI,Lahti,Padel Lahti Oy,01.12.2023,
3183793-8,1070707,Laguuni / Bläkä,Keilalahdentie 8,2150,ESPOO,Espoo,Umi Helsinki Oy,01.05.2021,
2674187-8,30884198,Cafe Roasberg,Siltasaarenkatu 13,530,HELSINKI,Helsinki,Nordic Barista Oy,15.04.2024,
1716347-1,30884515,Bistro Pikkutori,Posiontie 42,97900,POSIO,Posio,T:mi Henri Pätsi,20.05.2024,
2920407-4,1065003,Kontti Valmennuskeskus,Martinpojankatu 4B,33710,TAMPERE,Tampere,3H Valmennuskonsepti Oy,22.05.2019,
3279746-4,1075031,Hook,Tuulikinsilta 5,2100,ESPOO,Espoo,Espoon Koukkuravintolat Oy,20.07.2022,
2812300-2,30056415,Biisoni Areena,Kummuntie 275,59720,UUKUNIEMI,Parikkala,Uukuniemen pitäjän Biisoniareena Oy,01.06.2018,
0873697-9,30889069,0647 Saga Salpalinna,Kyösti Kallionkatu 3,15110,LAHTI,Lahti,Compass Group Finland Oy,01.12.2025,
1761475-4,1055827,Kyläseuran talo,Pintamontie 321,93290,PINTAMO,Pudasjärvi,Pintamon Kyläseura ry,01.03.2018,
2022845-9,1027886,Ravintola Kielo,Suvantokatu 12,80100,JOENSUU,Joensuu,TeeBox Oy,27.02.2008,
1723069-7,1029883,Pubi Tuuri ja Hotelli Vierashuone,Impantie 7,73100,LAPINLAHTI,Lapinlahti,PITÄJÄNTALO OY,12.09.2008,
3130182-6,1068458,Kalastajatorpan Tennisklubi,Kärkitie 4,330,HELSINKI,Helsinki,Munkkiniemen Tennisklubi Oy,01.06.2020,
2992498-7,30065444,Sauhu,Alankotie 1,4400,JÄRVENPÄÄ,Järvenpää,Sauhu Gourmet Oy,01.04.2020,
3151487-2,1072551,SF Ravintolat,Kartanonkatu 2 ,15110,LAHTI,Lahti,Avesta Group Oy,19.10.2021,
2748777-9,1068625,Tuplapub pesäpalloareena,Sarkkirannantie 20,90440,KEMPELE,Kempele,TuplaJJ Oy,01.07.2020,
3179598-5,1071505,Ravintola Sri,Keilaniementori 2,2150,ESPOO,Espoo,Sai Bhakti Oy,01.07.2021,
2434330-7,1072730,Stefan's Steakhouse Helsinki,Ludviginkatu 10,130,HELSINKI,Helsinki,SRMax Oy,02.11.2021,
1758982-7,1047227,Vanha Meijeri,Palokankaantie 30,69820,RÄYRINKI,Veteli,Alaspää Jukka,11.05.2014,
0207220-0,30070733,Bistro Sisu,Raviradantie 22 B,50100,MIKKELI,Mikkeli,Osuuskauppa Suur-Savo,01.06.2021,
1649044-6,1029873,Ravintola Huvilouhos,Polvijärventie 12-14,83700,POLVIJÄRVI,Polvijärvi,Ravintola Tirri-Pubi Oy,03.10.2008,
2653219-5,1052742,Citrus,Ollilanojankatu 2,84100,YLIVIESKA,Ylivieska,Citrus Foodsa Oy,01.03.2018,
0101260-1,1029842,Palvelutalo Hopeakotka,Kotkapolku 2,2620,ESPOO,Espoo,Espoon Eläkekotisäätiö sr,19.09.2008,
3560147-1,30889299,Via Armonia Pizzeria,Rauhankatu 33,6100,PORVOO,Porvoo,Amida Oy,19.12.2025,
0986855-1,1058994,Ilmala Business park,Ilmalantori 1,240,HELSINKI,Helsinki,Kanresta Oy,24.11.2017,
0744898-3,30070384,Ruuhikosken Golfravintola,Isokoskentie 533,60550,NURMO,Seinäjoki,Ruuhikoskigolf Seinäjoki Oy,01.04.2021,
2487602-3,30042851,Bar Passion,Tullikamarinaukio 1,33100,TAMPERE,Tampere,Rengasravintolat Oy,06.04.2018,
1102324-0,1016114,Ähtärin Golf Club,Moksuntie,63920,INHA,Ähtäri,Ähtärin Golf ry,01.03.2018,
3501016-1,30886543,KP Holkkari,Maaningantie 43,71750,MAANINKA,Kuopio,KP Holkkari Oy,14.02.2025,
2256165-0,1058529,Moshi Moshi,Iso Roobertinkatu 18,120,HELSINKI,Helsinki,XIONG FENG OY AB,01.11.2017,
2391720-9,1037682,Ravintola Sunn,"Aleksanterinkatu 26, 2. kerros",170,HELSINKI,Helsinki,Ravintola Sunn Oy,09.05.2011,
0305639-2,1771833,Keltsun Keidas,Sairaalankaari 28,46860,KELTAKANGAS,Kouvola,Inkeroisten Rakennuspalvelu Oy,10.03.1999,
2615560-9,1050370,Råttis,Skräbbölentie 2,21600,PARAINEN,Parainen,Oy Nelimauste Ab,15.05.2015,
3092646-1,30883674,Ravintola Mono,Tievantie 4,99130,SIRKKA,Kittilä,Alakerta Oy,01.02.2024,
0907890-4,1023992,Lilla Teatern,Yrjönkatu 30,100,HELSINKI,Helsinki,Sodexo Oy,04.09.2006,
2795768-9,30055990,Ravintola Dom Mikkeli,Porrassalmenkatu 18,50100,MIKKELI,Mikkeli,Dom Mikkeli Oy,24.06.2019,
0907890-4,30888508,Neste Espoo,Keilaranta 21,2150,ESPOO,Espoo,Sodexo Oy,01.09.2025,
2739499-4,1053755,Bakery Cafe,Tuomiokirkonkatu 26,33100,TAMPERE,Tampere,Tampereen Bakery Cafe Oy,30.05.2016,
2818350-7,1064942,Locanda Scappi,Kanavakatu 1,160,HELSINKI,Helsinki,Horse Around Oy,01.08.2019,
2612611-1,30883390,Ski Pub Ala-asema,Iso-Ylläksentie 44 ,95980,YLLÄSJÄRVI,Kolari,Suomen Ammattimiesvuokraus Oy,20.11.2023,
0351333-8,1035866,Valdemari,Jäämerentie 9,96200,ROVANIEMI,Rovaniemi,Lapin Pitopalvelu Oy,03.04.2003,
0957549-2,1052567,Best Western Hotel Raumanlinna,Valtakatu 5,26100,RAUMA,Rauma,Rauman Hovi Oy,26.01.2016,
3167753-2,1070555,Vehryt Nouka,Noukanniementie 99,40820,HAAPANIEMI,Jyväskylä,Vehryt Nouka Oy,01.05.2021,
1439631-7,1063023,Ravintola Viola,Juhlatalonkatu 4,33100,TAMPERE,Tampere,Viola-kotiyhdistys ry,15.11.2018,
2873992-3,30066976,Katismaan Saari,Katismaantie 18,27800,SÄKYLÄ,Säkylä,Lauttaravintola Rauma Oy,09.12.2019,
3322922-3,30881818,The Blue bird,Vuotie 45,980,HELSINKI,Helsinki,BIGBull Restaurants Oy,01.06.2023,
3522341-5,30888703,Mallassauna,Pikisaarentie 15,90100,OULU,Oulu,Mallassauna Oy,13.09.2025,
2959398-9,1065664,Phin Coffee,Asemanaukio 2,4200,KERAVA,Kerava,Summer Destiny Avoin Yhtiö,15.07.2019,
2991222-2,30885886,Lappeenrannan kaupungintalo,Villimiehenkatu 1,53100,LAPPEENRANTA,Lappeenranta,Kattava Catering Lappeenranta Oy,14.10.2024,
0242821-1,1030795,Amarillo ja The Alley,Vaasanpuistikko 18 C,65100,VAASA,Vaasa,Osuuskauppa KPO,23.04.2014,
2013520-1,1022852,Porotilamajoitus Autto Ky,Ounasjoentie 5614,99340,RAATTAMA,Kittilä,Porotilamajoitus Autto Ky,01.03.2018,
1543601-8,1075223,Rekipirtti,Raappanansuontie 61,93420,JURMU,Taivalkoski,Finn-Jann huskyfarmi Oy,01.09.2022,
1048964-7,30076309,Juhlatalo Rauhala,Mannenkatu 4,90130,OULU,Oulu,Oulu Tours Group Oy,30.04.2020,
2238494-9,1068829,Ciao Bella,Enätie 24,3250,OJAKKALA,Vihti,Ravintola Ismo-L tmi,03.07.2020,
3425570-6,30884342,Maukku,Hämeentie 26,530,HELSINKI,Helsinki,Chez Mama Oy,01.05.2024,
1601072-1,1073735,Ravintola Veera,Kipparinkatu 6,53100,LAPPEENRANTA,Lappeenranta,TMA Consulting Oy,12.04.2022,
2872516-9,1065341,Ravintola Biáng,"Kaivokatu 8, 2.krs, Lt 237",100,HELSINKI,Helsinki,Momada Oy,01.06.2019,
1202289-9,1771759,Mäkitupa Baari,Kauppatie 6,58700,SULKAVA,Sulkava,Anu Putkonen,01.03.2018,
2656917-4,30050114,The Riff,Iso Roobertinkatu 3,120,HELSINKI,Helsinki,Rockstar Entertainment Oy,16.03.2021,
1723298-3,1081477,Bar Toimisto,Kaskenkatu 3,20700,TURKU,Turku,Kaskimax Oy,05.12.2001,
0654977-4,30060333,Clubi Ravintola,Eerolanväylä 126,45700,KUUSANKOSKI,Kouvola,Kuusankosken Golfkeskus Oy,11.04.2018,
0499217-4,1041556,Matin ja Liisan Asema,Asematie,73100,LAPINLAHTI,Lapinlahti,Matin ja Liisan Asema Oy,09.04.2001,
1069500-2,1058513,Hotelli Haapakannel,Vanhatie 47,86600,HAAPAVESI,Haapavesi,Ravintola L & T Takalo Oy,23.09.1997,
0643668-1,1876049,Ravikeskus Keskinen,Keskisentie 140,84100,YLIVIESKA,Ylivieska,Pohjanmaan Ravi r.y.,15.02.2016,
1531929-2,1035267,Ravintola Nittaya Thai & Laos,Tuomiokirkonkatu 40,33100,TAMPERE,Tampere,Ravintola Thai & Laos Oy,29.07.2010,
3121008-6,1069778,Big Bowl Restaurant,"Malminrinne 2-4, M2 ja M3",100,HELSINKI,Helsinki,Litsi Oy,09.11.2020,
0605970-8,30071279,Kahvila-Ravintola Lohihovi,Lohikuja 10,97420,LOHINIVA,Rovaniemi,Kahvila Lohihovi Oy,01.07.2021,
3016650-3,30884510,Ravintola Enonvene,Enontie 50,81200,ENO,Joensuu,Enon Juhla ja Lounas Oy,07.05.2024,
3185586-1,1070398,Rönnvikin Muru Oy,Hämeenlinnantie 270,36660,LAITIKKALA,Pälkäne,Rönnvikin Muru Oy,01.05.2021,
2969334-9,30882056,Caffe Locale,Yrjönkatu 12,28100,PORI,Pori,Locale Pori Oy,13.06.2023,
1745591-7,1071977,BioRex Tripla,Firdonkatu 2 B LT 5030,520,HELSINKI,Helsinki,Bio Rex Cinemas Oy,01.09.2021,
2729859-9,1073686,Cafe Kauno,Hallituskatu 22,13100,HÄMEENLINNA,Hämeenlinna,Cafe Plus,21.03.2022,
2821735-9,1056872,Ravintola Oskari,Valtatie 7,37800,AKAA,Akaa,Oskarin Ravintola Oy,08.05.2018,
3568100-2,30888968,Little Thai,Puntarikatu 1,20780,KAARINA,Kaarina,Pieni Thai Oy,01.11.2025,
0142122-9,1048856,Bar Edison,Kauppiaskatu 4 B,20100,TURKU,Turku,Turun Osuuskauppa,01.01.2015,
2335507-4,30881756,Ravintola Ehtoo,Kuopiontie 26,77700,RAUTALAMPI,Rautalampi,Emäpitäjän Anniskeluravintolat Oy,10.06.2023,
0193088-3,1042153,Hotelli Kakslauttanen,Kiilopääntie 9,99830,SAARISELKÄ,Inari,Kakslauttanen Arctic Resort Oy,07.03.1986,
3300407-5,30075358,Bob's Laundry,Pursimiehenkatu 29-31,150,HELSINKI,Helsinki,Bobs Laundry Oy,07.09.2022,
2911541-8,1073898,Luckiefun's Kerava,Kauppakaari 10,4200,KERAVA,Kerava,WFZ SUSHI OY,01.05.2022,
3467539-9,30885849,Pub Mutteri,Tainionkoskentie 68,55120,IMATRA,Imatra,Manhattan-Ravintolat Oy,03.10.2024,
3576694-6,30889445,Savimaja Oy,Kirkkopuistikko 5,65100,VAASA,Vaasa,Savimaja Oy,26.01.2026,
3151165-5,30069593,Kannelmäen Kotipizza,Kantelettarentie 1,420,HELSINKI,Helsinki,Das Company Oy,06.10.2020,
0677032-1,30059618,Ravintola Golffari,Golftie 63,5880,HYVINKÄÄ,Hyvinkää,Hyvigolf Oy,20.06.2018,
3444827-6,30886653,Brasserie Lionne,Pohjoisesplanadi 37,100,HELSINKI,Helsinki,Paname Oy,01.04.2025,31.03.2026
2286591-0,1040300,Erkan Kebab pizzeria,Siltapuistonkatu 19,28100,PORI,Pori,Erkan Sahin,01.03.2018,
3491246-2,30888340,Lieksan sataman Grillitupa,Braheantie 14,81700,LIEKSA,Lieksa,Jaspis,16.07.2025,
3018899-9,1071822,Restaurant Bona Fide,Vironkatu 8,170,HELSINKI,Helsinki,Sisiravintolat Oy,01.08.2021,
2506914-3,1070925,"Bypias Wine Bar, Tampere",Lapinniemenranta 4 A,33180,TAMPERE,Tampere,By Pia's Oy,22.05.2021,
2825089-6,30885875,Ahaan Tam Sang Forum ,Mannerheimintie 20,100,HELSINKI,Helsinki,KNC Thai Food Oy,01.11.2024,
2540423-9,30067409,Hotelli Metsähirvas,Toukolantie 49,97130,HIRVAS,Rovaniemi,Sirafire Oy,31.12.2019,
2970317-2,1064128,Kapakanmäki,Lahden valtatie 206,14810,TUULOS,Hämeenlinna,Hämeen Tapahtumapalvelut Oy,17.03.2019,
2909507-4,30884314,Satamapaviljonki ,Mustolantie 5,71200,TUUSNIEMI,Tuusniemi,Hojo Hojo Camping Oy,01.05.2024,
2708883-1,30887557,Varkauden vierasvenesataman kesäkahvila,Hoikanmäentie 14,78250,VARKAUS,Varkaus,Harjurannan Nuorisoteatteri ry,26.05.2025,
3521374-3,30887456,Krus,Österleden 110,22100,MARIEHAMN,Maarianhamina - Mariehamn,Ateljé Florence Ab,23.05.2025,
1447914-7,1011311,Scandic Plaza Turku,Yliopistonkatu 29,20100,TURKU,Turku,Scandic Hotels Oy,30.08.2000,
2918641-9,1064559,Cafe Kaisuli,Tammelan Puistokatu 30-32,33100,TAMPERE,Tampere,KV-Kahvilat,10.04.2019,
1530506-9,1016478,Tesses Café,Karlebyvägen 2063,66580,KUNI,Mustasaari,Tesses Grill-Café Ab,19.03.2004,
2873530-8,30059377,Juhlatalo Juurikkasaari,Juurikantie 5,40900,SÄYNÄTSALO,Jyväskylä,Juurikka Catering Oy,09.06.2020,
2605022-5,30046803,Ski Booster,Ahon Jussintie 7,93830,RUKATUNTURI,Kuusamo,Ruka Booster Oy,09.04.2021,
1952816-3,30889456,Darekon Areena,Hakakuja 4,86600,HAAPAVESI,Haapavesi,Haapaveden Torikulma Oy,25.04.2026,25.04.2026
1453331-8,30005043,Isä Camillo,Kauppakatu 25-27,70100,KUOPIO,Kuopio,Ravintolamestarit Oy,01.05.2018,
0628614-2,1076889,Frank The Lobster,Aleksanterinkatu 25,33100,TAMPERE,Tampere,Findeli Oy,05.04.2023,
0618170-3,1273349,Teeriharju,Salontie 962,31450,HÄNTÄLÄ,Somero,Häntälän Maamiesseura r.y.,01.03.2018,
0750509-5,1071404,Café Strindberg,Pohjoisesplanadi 33,100,HELSINKI,Helsinki,Royal Ravintolat Oy,02.01.2003,
0762343-8,1065218,Ravintola Kustaa Vaasa,Vaasankatu 10,500,HELSINKI,Helsinki,Casa Ravintolat Oy,29.01.2003,
3243787-2,1072932,Pizza Celik / Pizza Service,"Hakopolku 2, lh 16",1360,VANTAA,Vantaa,Celik Oy,03.12.2021,
2196357-8,1045209,Pancho Villa Turku,Kauppiaskatu 12 A,20100,TURKU,Turku,JH-Ravintolat Oy,14.08.2013,
2938106-2,30885574,Pizzeria Lila,Koskelantie 66 lh. 2 ,90520,OULU,Oulu,Pizzeria Lila Oy,23.08.2024,
2714013-4,30889357,Cafe Amalilo,Jäämerentie 10,99600,SODANKYLÄ,Sodankylä,Viveol Oy,01.02.2026,
0433249-1,1171953,Lobby Grilli Cafeteria,Koivumankkaantie 3,2200,ESPOO,Espoo,Espoon Tennistuki ry ,18.09.2002,
3115973-5,30887923,Jyppe`s Burger Shop,Tennbyntie 29,21600,PARAINEN,Parainen,Jyppes Oy,13.06.2025,
0188884-9,1881040,Piippolan nuorisoseurantalo,Nuorisoseurantie 74,92620,PIIPPOLA,Siikalatva,Piippolan Nuorisoseura ry. ,01.03.2018,
0901434-5,1066531,Tapas Point,Kauppamiehentie 3 a (Sampotori,2100,ESPOO,Espoo,Parkkis Ravintolat Oy,01.10.2019,
2199747-9,30029428,Ravintola Tähdenlento,Kittilän Lentoasema,99100,KITTILÄ,Kittilä,Lapland Hotels Lappi Oy,29.03.2018,
3194278-9,30072007,Daddy Greens Pizzabar Kallio,Viides Linja 16,530,HELSINKI,Helsinki,Mamu & Maalainen KALLIO Oy,14.08.2021,
3330695-4,30887300,Uuno Kivenlahti,Merivirta 9,2320,ESPOO,Espoo,Nordic Dine Oy,01.06.2025,
2981976-5,1064200,La Bodequita del Bronx,Kirkkotallintie 4,2400,KIRKKONUMMI,Kirkkonummi,Potus Oy,01.04.2019,
0165007-2,30884415,Mikkelin Raviradan Ravintolat,Raviradantie 22,50100,MIKKELI,Mikkeli,Mikkelin Ravirata Oy,01.05.2024,
2787944-9,1055524,Beijing 8 Helsinki,Urho Kekkosen katu 1 LT 5.32E,100,HELSINKI,Helsinki,B8 Food Services ( Finland) Oy,01.12.2016,
