asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3304254-9,30076299,Kotipizza Savonlinna,Olavinkatu 35,57130,SAVONLINNA,Savonlinna,S&Z Partners Oy,01.02.2023,
2381368-8,1075849,Patisserie Teemu Aura Punavuori,Fredrikinkatu 19,120,HELSINKI,Helsinki,Zugu Oy,14.11.2022,
1810639-9,1015252,Hotel Kokkola,Rantakatu 14,67100,KOKKOLA,Kokkola,Wiklöf Hotel Services Ab Oy,05.05.2003,
3378579-9,30883499,Winest,Unioninkatu 30,100,HELSINKI,Helsinki,Joy and Wine Group oy,24.01.2024,
2058735-5,30888421,Ravintola Jufu Suomenoja,Suomalaistentie 5 ,2270,ESPOO,Espoo,Ju Yang Fu Investment Company Oy,01.08.2025,
2193610-7,30060743,Rousal Brygghus Tap Room,Norrlandsvägen 210,25950,ROSALA,Kemiönsaari,Rousal Brygghus,21.06.2020,
1762306-0,1062873,Joutolammen kämppä,Lamminrovantie 620,96900,SAARENKYLÄ,Rovaniemi,Safartica Oy,02.10.2018,
1928483-2,1043768,m/s Victoria,Kauppatori,170,HELSINKI,Helsinki,Stromma Suomi Oy Ab,01.04.2013,
2700028-9,30884143,Getnabben Grill Restaurang,Fåfängöntie 57,10600,TAMMISAARI,Raasepori,PIZZERIA DILBER,15.04.2024,
2434417-4,1040111,Ylläskammi 718,Iso-Ylläksentie 44,95980,YLLÄSJÄRVI,Kolari,Suomen Elämysravintolat Oy,29.11.2011,
2245018-4,1033911,Ravintola Raimanni,Satamakatu 19,26100,RAUMA,Rauma,Länsirannikon Koulutus Oy,19.03.2010,
3579111-3,30889286,Platform NO. 1 ,Ratakuja 1,1300,VANTAA,Vantaa,Platform bar Oy,01.01.2026,
0907890-4,1016789,Hills Business Park,Klovinpellontie 3,2180,ESPOO,Espoo,Sodexo Oy,01.06.2004,
2128041-9,30066861,Black Box 360,Fredrikanterassi 1,520,HELSINKI,Helsinki,Flavour Ventures Oy,11.11.2019,
1519801-3,30883295,Lounashetki Aava / Juhlapalvelu,Kirkkokatu 21,48100,KOTKA,Kotka,Oldbrette Oy,01.12.2023,
0906333-1,30889371,Ravintola-kahvila Leimu,Hämeentie 135A,560,HELSINKI,Helsinki,ISS Palvelut Oy,09.02.2026,
3086012-4,1068336,ECC Café och Grill,Masansgatan 30,22270,ECKERÖ,Eckerö,ECC Café & Grill,01.11.2021,
2229409-7,30888432,"Ravintola Tilly, Nuorisotalo",Kirkkopuistonkatu 25,74100,IISALMI,Iisalmi,Iltalypsy Oy,01.08.2025,
2223517-7,1065971,Ravintola Hotelli Rukatonttu,Hiihtostadionintie 1,93830,RUKATUNTURI,Kuusamo,SUOMEN SAAMAMIEHET OY,01.09.2019,
3510123-1,30886974,Sakana Sushi,Tunnelitie 4,2700,KAUNIAINEN,Kauniainen,The Fishy Thing Oy,01.04.2025,
1041605-0,30883367,"Himos Bistro, Himos Buffet ja Himos Cafe",Länsikeskuksentie 9,42100,JÄMSÄ,Jämsä,Krapina Oy,24.11.2023,
0163517-1,1770264,Turkian Lava,Letkonkankaantie 66,49660,PYHÄLTÖ,Hamina,Turkian Tuiske r.y.,01.03.2018,
3190122-3,1071329,Ravintola Elit,Kirkkotie 175 A 3,7170,PORNAINEN,Pornainen,nupel oy,09.06.2021,
0913659-6,30887266,Grönbacka Kuivurin hanahuone,Vehnäpellontie 2,1900,NURMIJÄRVI,Nurmijärvi,Mainos- ja markkinointipalvelu Waltzer Oy,30.04.2025,
0647239-1,1060601,Kinopalatsi Turku,Kauppiaskatu 11,20100,TURKU,Turku,Finnkino Oy,03.10.2018,
1041605-0,30047430,Himos-Hotelli,Säyryläntie 445 A,42100,JÄMSÄ,Jämsä,Krapina Oy,01.04.2019,
1085883-6,30475662,Camping Messilä,Satamapolku 1,15980,MESSILÄ,Hollola,Camping Messilä Oy,16.05.2018,
1975603-5,1021215,Corner Inn,Kauppakatu 10,94100,KEMI,Kemi,Corner Ravintolat Oy,25.10.2005,
3324525-8,30887056,Le Petit Hedonisté,Rihkamakatu 2,6100,PORVOO,Porvoo,Le Petit Hédoniste Oy,01.05.2025,
2997821-3,1068200,Ant Brew,Mallaskatu 1,15140,LAHTI,Lahti,Ant Brew Oy,30.04.2020,
2925817-9,30884243,Jampan Kumpubaari,Listakuja 12,4440,JÄRVENPÄÄ,Järvenpää,JäPS Oy,19.04.2024,
1880492-0,30060205,Ravintola Talin Kartano,Talin Puistotie 12,350,HELSINKI,Helsinki,Gourmet Sarfvik Oy,15.04.2020,
3368728-3,30882186,General Way Pub,Torikuja 2,42300,JÄMSÄNKOSKI,Jämsä,GENERAL WAY PUB KY,07.07.2023,
2673711-5,1060705,BeachRose,Tuomipakkaintie 5,85100,KALAJOKI,Kalajoki,Minrose oy,01.06.2018,
3366795-2,30885600,Kylärafla Kanto,Valurinkatu 2 C,3600,KARKKILA,Karkkila,Kuuke Oy,28.08.2024,
2649848-4,30888182,Hangon Casino,Appelgrensvägen 10,10900,HANKO,Hanko,Food Camp Finland Oy,01.07.2025,30.06.2026
1400822-2,1272802,Tarina-Tupa,Kuortaneentie 1518,62165,TIISTENJOKI,Lapua,LEENAN TARINA-TUPA,01.03.2018,
3455458-9,30888282,Lentiiran Lomakylä,Petäjäniementie 121,88930,LENTIIRA,Kuhmo,Lentiira Wilderness Oy,09.07.2025,
1157755-0,1475749,Kahvila-Kioski Alakulma,Rautpohjankatu 10,40700,JYVÄSKYLÄ,Jyväskylä,T:mi Juha Virenius,01.03.2018,
2479614-6,1042205,Flavour Palace Haukipudas,Jokelantie 1,90830,HAUKIPUDAS,Oulu,Zhang Junxi,01.03.2018,
2585716-6,1073029,Biljardisali Fouli,Kauppakatu 61,53100,LAPPEENRANTA,Lappeenranta,Fouli Oy,01.01.2022,
2827929-3,1057420,Ravintola Juku,Koulukatu 22,60100,SEINÄJOKI,Seinäjoki,Ravintola Juku Oy,09.06.2017,
2183807-2,1028411,Ravintola Krouvi,Asematie 1,52700,MÄNTYHARJU,Mäntyharju,AH Ravintolat Oy,25.04.2008,
2840001-4,1058721,LITTLE INDIA - Indian Cuisine and b,Keskuskatu 10,11100,RIIHIMÄKI,Riihimäki,Guru Nanak Oy,19.10.2017,
2661130-1,30884723,Satamakaffila Nuotta,Rantabulevardi 7,94100,KEMI,Kemi,LV Nuotta Oy,14.06.2024,
2991895-8,30065180,Puusaun,Ruonantie 319,27230,LAPPI,Rauma,KUNNIS OY,15.07.2019,
2627655-8,30886519,Tom Yam Thai Food Lehtitalo,Lauritsalantie 1,53100,LAPPEENRANTA,Lappeenranta,Thaimaalainen Pitopalvelu Sam Phi Nong Oy,01.02.2025,
2859494-7,1069513,The Folks Hotel Konepaja,Aleksis Kiven katu 23,510,HELSINKI,Helsinki,Folks Hotels Oy,29.09.2020,
2912387-2,30887221,Ravintola Kerigolf,Torvelantie 67,58200,KERIMÄKI,Savonlinna,Enonkosken Laiturila Oy,01.05.2025,
2869337-1,30882941,Sizzle Station Fennia,Vuorikatu 14,100,HELSINKI,Helsinki,BL Capital Oy,07.09.2023,
3495312-5,30887899,Gangnam Bite Forum,Mannerheimintie 20,100,HELSINKI,Helsinki,Spicy Tasty Oy,06.06.2025,
3284407-2,1076501,Pizza de Levi,Torikuja 5,99130,SIRKKA,Kittilä,Pizza de Levi Oy,01.03.2023,
1751879-7,1013902,Spa Hotel Hamina,Sibeliuskatu 32,49400,HAMINA,Hamina,Hotellioperaattorit Oy,05.07.2002,
2341913-8,30035405,Vuosnaisten meriasema,Vuosnaistentie 616,23360,KUSTAVI,Kustavi,MAP Satamapalvelu Oy,29.03.2018,
2686415-7,1052246,Ruskotunturin Kahvila,Ruskotunturintie 10,90620,OULU,Oulu,Oulu Action Park Oy,01.03.2018,
3456514-9,30887974,Lily Of The Valley,Kielotie 11,1300,VANTAA,Vantaa,Skandinaavinen siivouspalvelut Oy,16.06.2025,
0658353-4,1059447,Wanha Mestari Saarijärvi,Kauppakatu 7,43100,SAARIJÄRVI,Saarijärvi,Restel Ravintolat Oy,06.05.1967,
3108806-8,30883862,Studio Villatehdas,Kankurinkatu 4-6 B 9,5800,HYVINKÄÄ,Hyvinkää,Ohjelmapalvelutoimisto Hartikainen & Koiksniemi Oy,01.03.2024,
