asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2922955-4,30886478,Ravintola Pikkutammi,Juurakkokuja 4,1510,VANTAA,Vantaa,Tammisto Catering Oy,01.02.2025,31.01.2026
3525504-6,30887740,Roka Street Bistro Tampere,Aleksanterinkatu 31 LH 2,33100,TAMPERE,Tampere,SaKu Street Bistro Oy,02.06.2025,
0658353-4,1053011,Rax Flamingo,Tasetie 8,1510,VANTAA,Vantaa,Restel Ravintolat Oy,01.03.2018,
2335544-5,1076681,Ravinteli Haarla,Pellavatehtaankatu 14,33100,TAMPERE,Tampere,Veljekset Ponteva Oy,01.04.2023,
3553901-4,30888874,Kolin Satamatupa,Rantatie 12,83960,KOLI,Lieksa,Annetta Oy,04.11.2025,
2604672-8,1047190,Vastavirta-klubi,Pispalanvaltatie 39,33250,TAMPERE,Tampere,Rokata Oy,01.06.2014,
2335507-4,30070622,"Konttiravintola Morton, Varkaus",Rajakatu 28,78200,VARKAUS,Varkaus,Emäpitäjän Anniskeluravintolat Oy,30.04.2021,
3211718-2,1072733,Fat Sam's Grand Slam Oy,Nuijamaankatu 2,20320,TURKU,Turku,Fat Sam's Grand Slam Oy,02.12.2021,
1575649-2,1051746,Aleksanterin Teatteri,Bulevardi 23-27,180,HELSINKI,Helsinki,Komppari Group Oy,23.10.2015,
2632665-8,1049900,Ravintola Dharahara,Oksasenkatu 1 lh 2,53100,LAPPEENRANTA,Lappeenranta,Dharahara Oy,23.04.2016,
3255572-1,30884540,Oripään Ravintola,Yläneentie 1lh 4,32500,ORIPÄÄ,Oripää,Oripään ravintola pizza-kebab,11.05.2024,
2681939-9,30887654,Kattopuutarha,"Satakunnankatu 18 A, 5. krs",33210,TAMPERE,Tampere,Omatarhuri Oy,06.06.2025,
3510726-2,30887178,Juvan Kisalinna,Sulkavantie 551,51900,JUVA,Juva,Juvan Kisalinna Oy,01.06.2025,
2513030-3,1076264,Ravintola Base Camp,"Mannerheimintie 3, LT 6112",100,HELSINKI,Helsinki,Daunne Oy,15.01.2023,
3222363-9,30881625,Sapokka Bar&BBQ,Sapokankatu 2,48100,KOTKA,Kotka,Neittamon Liha Oy,23.05.2023,
0494346-0,30069842,Oy Fondis Ab:n ravintolat,Hovioikeudenpuistikko 15,65100,VAASA,Vaasa,Oy Fondis Ab,03.02.2021,
3531255-7,30887838,Way Café,Kettutie 3,800,HELSINKI,Helsinki,Way Herttoniemi Oy,03.06.2025,
1700263-5,1061847,Lempäälän Jäähalli,Urheilukatu 5,37550,LEMPÄÄLÄ,Lempäälä,Lempäälän Kiekkoilun Tuki ry,10.08.2018,
2112598-8,1060758,Dylan Böle,Pasilankatu 10,240,HELSINKI,Helsinki,Toothpicks and Honey Oy,23.04.2018,
2002434-1,1062520,Lamkooma,Mukkulankatu 19,15210,LAHTI,Lahti,LAB-ammattikorkeakoulun opiskelijakunta KOE,17.09.2018,
3515374-4,30886964,Paratiisi Club Turenki,Kauppakuja 1,14200,TURENKI,Janakkala,Bar Ojanen Oy,01.04.2025,
1001546-8,30885797,Café Bistro Kuukkeli,Saariseläntie 1,99830,SAARISELKÄ,Inari,Saariselän Kuukkeli Oy,14.11.2024,
3582936-1,30889325,Lazy Fox Kallio,Helsinginkatu 15,500,HELSINKI,Helsinki,Lazy Fox Kallio Oy,23.01.2026,
2676759-2,1071636,Pohjanmaan Grilli,Friisinmäentie 5,2600,ESPOO,Espoo,Pohjanmaan Grilli Oy,08.11.2021,
0451502-8,1008562,Silverkär Konferens och rekreations,Norrgärs mötestuga,22430,SALTVIK,Saltvik,Silverskär Ab,01.07.1999,
2774174-9,1064879,Kotipizza & Rolls Laihia,Pankkikuja 1,66400,LAIHIA,Laihia,Ilmajoen Pikaruoka Oy,04.09.2019,
3380914-8,30883192,HOB ,Capellan Puistotie 2,540,HELSINKI,Helsinki,Jeppe på berget Oy,01.11.2023,
2956726-2,30886714,Meyhuone,"Kruunuvuorenkatu 4, Unit 119",160,HELSINKI,Helsinki,Bonita EXIM Ab Oy,01.03.2025,
3168823-1,30889418,Hangö Farm Deli,Satamakatu 7,10900,HANKO,Hanko,C & E Rosenberg Oy,22.01.2026,10.05.2026
2370168-6,30884348,Hemingway's Itäkeskus,Turunlinnantie 6,930,HELSINKI,Helsinki,Tulikuuma Kumpu Oy,03.05.2024,
3404491-7,30883417,Ravintola Masala Hut,Työpajankatu 6 A,580,HELSINKI,Helsinki,Maulik OY,01.12.2023,
0850420-3,1476108,Särpe Oy Kahvila,Vaajakoskentie 76,40400,JYVÄSKYLÄ,Jyväskylä,Särpe Oy,01.03.2018,
3385580-6,30887343,Arctic Glow Minigolf,Torikatu 15-17,90100,OULU,Oulu,Arctic Ventures Oy,01.09.2025,
0806270-8,1042366,Hotelli Kumpeli,Muonamiehenkatu 3,18100,HEINOLA,Heinola,Hotelli Kumpeli Oy,07.08.1986,
3137813-7,1070237,Coco Beach Club Hanko,Satamakatu 4,10900,HANKO,Hanko,Hanko Beach Club Oy Ab,11.02.2021,
1641303-7,1033097,Vaasan Sähkö Areena,Rinnakkaistie 1,65350,VAASA,Vaasa,Vaasan Jäähallin Ravintolat Oy,05.09.2009,
2250205-2,1072667,Kruunu,05800,5800,HYVINKÄÄ,Hyvinkää,Hyria koulutus Oy,16.11.2021,
