asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
0530477-5,1075850,KyläKahvila,Urjalantie 24,31760,URJALA,Urjala,Market Mari Ky,09.11.2022,
3200026-7,30881815,Kahvila Laikku,Keskustori 4,33100,TAMPERE,Tampere,Saawa Osk,01.06.2023,15.05.2026
0994141-3,1056341,Tori Pub,Laulupuisto,80100,JOENSUU,Joensuu,Joensuun Torikahvio Oy,01.04.2017,
2993779-6,30886767,Kaustisen Kansantaiteenkeskus ,Jyväskyläntie 3,69600,KAUSTINEN,Kaustinen,A'la Miina,16.03.2025,
3477989-2,30888179,Tauvon kesäkioski,Tauvontie 755,92320,SIIKAJOKI,Siikajoki,Maveloto Oy,01.07.2025,
2283903-4,1052341,Tuki-Rasti,Markkinatori 4,54100,JOUTSENO,Lappeenranta,Tuki-Rasti Oy,04.01.2016,
3268222-9,1073503,Kauhavan Tuoppi Oy,Einarintie 1,62200,KAUHAVA,Kauhava,Kauhavan Tuoppi Oy,09.03.2022,
2653762-3,1049377,Kaupunginkellari,Pohjoisesplanadi 11-13,170,HELSINKI,Helsinki,Palmia Oy,01.01.2015,
3099824-6,30886905,Kuunari Jan Mayen ,"Halkolaituri, Pohjoisranta ",170,HELSINKI,Helsinki,Dynamo Shipping ltd Oy,30.04.2025,
3226335-8,30887897,s/s Heinävesi,Savonlinnan matkustajasatama,57130,SAVONLINNA,Savonlinna,SAIMAA4YOU Oy,10.06.2025,
3309182-6,1076606,Aino Areena,Maamiehenkatu 14,4400,JÄRVENPÄÄ,Järvenpää,Aino Tapahtumat Oy,01.03.2023,
3015167-8,30885911,Mäntsälän Lava,Maisalantie 7,4600,MÄNTSÄLÄ,Mäntsälä,Mäntsälän Autolasi Oy,10.10.2024,
2368966-4,1053681,Kammari,Puronsuunkatu 1,80160,JOENSUU,Joensuu,Joensuun Kammari Oy,15.06.2016,
0175440-2,1472046,Kuikan Lava,Kuikantie 800,41140,KUIKKA,Jyväskylä,Kuikan Pienviljelijäinyhdistys ry,01.03.2018,
1771143-1,30042325,Janoinen Lohi,Linnankoskenkatu 12,250,HELSINKI,Helsinki,Momentin Restaurants Oy,20.03.2018,
2017542-2,1027801,Restaurang Käringsund,Käringsundsvägen 194,22270,ECKERÖ,Eckerö,Ålands Turisminvest Ab,09.01.2008,
1010350-5,30065955,Villa Wolax,Villa Wolaxin tie 40,21620,KUUSISTO,Kaarina,Villa Wolax Oy,01.05.2021,
2907224-3,1076939,Ravintola Riihi BBq,Hallilantie 24,33820,TAMPERE,Tampere,Riihi BBQ Oy,30.04.2023,
0187383-1,30017814,Keilabaari,Isokatu 97,90120,OULU,Oulu,Oulun Keilailutalo Oy,22.03.2018,
3434075-9,30885210,Hotelli Iso-Syöte,Isosyötteentie 246,93280,SYÖTE,Pudasjärvi,Jepetron Oy,01.07.2024,
2855743-3,1069079,Ravintola Jufu Tammisto,Nilsaksenpolku 2,1510,VANTAA,Vantaa,Fu Xiang Yuan Oy,15.08.2020,
2009772-7,1073900,Joensuun pesäpallostadion,Mehtimäenaukio 2,80110,JOENSUU,Joensuu,Super-JoMa Oy,17.05.2022,
2768909-8,1071766,Mike's Diner,Jönsaksentie 6,1600,VANTAA,Vantaa,Mike's Diner Oy,07.07.2021,
1540775-1,30888442,Lapuahovi,Puistotie 2,62100,LAPUA,Lapua,Lapuan Yrittäjähotelli Oy,01.09.2025,
3281295-1,1075243,Oppa Korean BBQ,"Aleksanterinkatu 9, Lt 109B",100,HELSINKI,Helsinki,Oppa Korean BBQ Kluuvi Oy,28.07.2022,
2522466-8,1043328,Linnanliisa,Jyväskyläntie 705,43100,SAARIJÄRVI,Saarijärvi,Kahvila-Ravintola Linnan Liisa Oy,01.03.2018,
1585004-0,1063925,Ravintola Lundo,Hyvättyläntie 4,21420,LIETO,Lieto,Ravintola Lundo,01.03.2019,
0681239-2,1051813,LumiLinna,Lumilinnankatu 15,94100,KEMI,Kemi,Kemin Matkailu Oy,15.10.2015,
3280075-8,1074881,Osteria De gusti,Töölönkatu 1,100,HELSINKI,Helsinki,Tradizioni Oy,15.07.2022,
2763088-9,1062661,Ravintola Sargam,Kamreerintie 3 LT 1-47,2770,ESPOO,Espoo,Resunga Oy,28.09.2018,
3088063-5,1066949,Ravintola Talli Sauvo,Viljontie 8,21570,SAUVO,Sauvo,Smaikku Oy,01.12.2019,
0168170-9,1062715,Ravintola Kolumbus,Niinivaarantie 50,80200,JOENSUU,Joensuu,Pohjois-Karjalan Osuuskauppa,05.06.1998,
3560079-4,30889392,Bandipur,ISOKATU 61,90100,OULU,Oulu,Apetoria Oy,21.01.2026,
2997287-4,1065087,Neuvottelumaailma Eteläranta 10,Eteläranta 10,130,HELSINKI,Helsinki,Financier Group Oy,01.07.2019,
2062290-7,1070110,Kiinalainen Ravintola Family,Unioninkatu 39,170,HELSINKI,Helsinki,LI ZHI YONG,12.01.2021,
3454057-4,30887799,Hellberg,Kalevankatu 46 a 11,180,HELSINKI,Helsinki,Luxe Virtue Oy,02.06.2025,30.09.2026
3418196-2,30888643,Aito Fresh (Aikatalo),Mikonkatu 8,100,HELSINKI,Helsinki,Aito Fresh Oy,02.09.2025,
3218229-1,1073902,Laiska Kissa,Puustellinrinne 3,410,HELSINKI,Helsinki,A & Z GROUP OY,03.05.2022,
2340264-3,1035354,Kallion Bar 12,Vaasankatu 12,500,HELSINKI,Helsinki,Bar 12 Vaasis Oy,02.07.2010,
1956936-0,1050276,Kaanaa Karting,Moottorikeskuksenhaara 132,34270,VELAATTA,Tampere,Vesa Vehmaa,01.03.2018,
0920625-9,30883067,Ravintola Olkkari,Toinen linja 3,530,HELSINKI,Helsinki,PS-Partnership Service Oy,25.10.2023,
2050098-5,30053889,Bar NR 1,Laajaniityntie 3,1620,VANTAA,Vantaa,Geetu Geeta Oy ,25.03.2020,
0873697-9,30889161,0649 Saga Torilinna,Snellmaninkatu 3 D,53100,LAPPEENRANTA,Lappeenranta,Compass Group Finland Oy,01.12.2025,
2541678-2,1058230,Top Lounges Astoria-sali,Iso Roobertinkatu 14,120,HELSINKI,Helsinki,Top Lounges Oy,01.09.2017,
2462512-8,30887320,Laivalahden Poiju,Simppukarinkatu 2,810,HELSINKI,Helsinki,KP CATERING OY,30.04.2025,
3185446-3,1070617,Grape Wine Bar,Uudenmaankatu 13,120,HELSINKI,Helsinki,Three Grapes Oy,19.04.2021,
3089642-6,30889252,Pancho Villa Tikkurila,Asematie 12B,1300,VANTAA,Vantaa,Back In Business Oy,29.12.2025,
2649346-4,30882093,Walleniuksen Wapriikki,Walleniuksenkatu 2,35500,KORKEAKOSKI,Juupajoki,Adooria Oy,15.06.2023,
