asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2676049-7,30071363,Merrycamping,Palosaarentie 67,29900,MERIKARVIA,Merikarvia,The Merry Monk Reposaari Oy,01.06.2021,
3169483-4,30887705,Bar Lato,Ilmarinjärventie 252,33450,SIIVIKKALA,Ylöjärvi,Hanmax Oy,29.05.2025,28.05.2026
1536555-5,1009726,Kärrynpyörä baari,Pennalantie 107,16320,PENNALA,Orimattila,Kioski Myötätuuli Pennala Ky,01.03.2018,
0869447-3,1034201,Martinselkosen Eräkeskus,Pirttivaarantie 131,89920,RUHTINANSALMI,Suomussalmi,Martinselkosen Matkailu Oy,01.03.2018,
2942083-4,1064606,Pizzeria Don Papa,Satamatie 3,53900,LAPPEENRANTA,Lappeenranta,Don Papa Oy,15.04.2019,
1603876-7,1048327,Bar Kuka,Linnankatu 17,20100,TURKU,Turku,Eneros Turku Oy,01.09.2014,
3413208-7,30884116,Laivaravintola Svarte Rudolf,Itäinen Rantakatu 13,20100,TURKU,Turku,AV Lines Oy,04.04.2024,
2932156-1,30062738,Dos Tecolotes,Hämeentie 6 LT 4,530,HELSINKI,Helsinki,Dos Tecolotes Oy,23.11.2020,
1457522-7,1057024,Restaurang Crazy Cat,Salutorget 1,64100,KRISTIINANKAUPUNKI,Kristiinankaupunki,Nopporex Oy,28.04.2017,
3408655-1,30883563,The Murju - Bistro & Bar,Koskentori 3,2880,VEIKKOLA,Kirkkonummi,Murju Oy,01.01.2024,
2038041-8,30886183,Chipper´s Pub,Strandvägen 1,25900,TAALINTEHDAS,Kemiönsaari,Chipper's Pub Ab,20.11.2024,
2777082-2,30889464,Ravintola Bianco,Otavalankatu 9,33100,TAMPERE,Tampere,BIG DADDY - RAVINTOLA,01.02.2026,
1544280-5,1073741,Paatelan Portti,Äänekoskentie 840,44200,SUOLAHTI,Äänekoski,Novocora Oy,12.05.2000,
0186121-6,1881018,Huttukylän Nuorisoseurantalo,Lehmiläntie 25,90900,KIIMINKI,Oulu,Kiimingin Huttukylän Nuorisoseura ry,01.03.2018,
0240138-5,30477037,Luhalahden Autohuollon Kahvio,Luhalahdentie 2325,39410,LUHALAHTI,Ikaalinen,Luhalahden Autohuolto om. Hannu Seppä ja kumpp,08.05.2018,
3273222-2,1075352,Kahvila Raatihuone,Raatihuoneentori 1,49400,HAMINA,Hamina,Cafe Crisp n' Sweet Oy,03.09.2022,
