asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
0186274-5,31074939,,Kirkonkyläntie 17,95110,KUIVANIEMI KK,Ii,Kuivaniemen Nuorisoseura r.y.,27.06.2022,
2262555-4,31062811,,Karjalankatu 2 A 3. krs,520,HELSINKI,Helsinki,Helsinki Beer Festival Oy,03.10.2018,
3205272-9,31076014,,Laiturikatu 3 b 20,15140,LAHTI,Lahti,Amarayda Oy,10.11.2022,
3090546-8,31072651,,Pajuniityntie 11,320,HELSINKI,Helsinki,Lumme Catering Oy,22.10.2021,
3268433-9,31074212,,Keskuskatu 1,23800,LAITILA,Laitila,Juhlatila Fordson Oy,25.05.2022,
2525997-5,31068228,,Porthaninkatu 6 C 65,530,HELSINKI,Helsinki,Jouni Rahikainen T:MI Jouni Rahikainen,29.05.2020,
2912449-6,31077194,,Närpesvägen 2,64200,NÄRPIÖ,Närpiö,Tomatkarnevalen Entertainment Öppet bolag,09.05.2025,
0849588-8,31071032,,ei toimipaikkaa,810,HELSINKI,Helsinki,Snout Oy,30.04.2021,
2236084-0,31062773,,Luvalahdentie 1,27500,KAUTTUA,Eura,Turvakerroin Oy,30.11.2018,
1071246-6,31066039,,Aleksis kiven katu 19 b LT 2,510,HELSINKI,Helsinki,Central Line Entertainment Oy,22.07.2019,
2375052-5,31062282,,LAitakarintie 345,29100,LUVIA,Eurajoki,Kaljaasi Ihana Oy,03.08.2018,
1912580-7,31074647,,Einonkuja 3,39700,PARKANO,Parkano,Parkanon Yrittäjät ry,17.06.2022,
0223198-8,31060069,,Eskelinkatu 5,20100,TURKU,Turku,V.P.K:n Ravintola Oy,09.04.2018,
3041327-9,31077148,,Hongontie 2,38950,HONKAJOKI,Kankaanpää,Honkajoen Yrittäjät r.y.,27.07.2023,
0129915-5,31072404,,kapulasillantie 45,16450,MALLUSJOKI,Orimattila,Mallusjoen Nuorisoseura r.y.,01.10.2021,
2756672-5,31069685,,Sörnäs strandväg 29,500,HELSINKI,Helsinki,Handpicked Wines Finland Ab,26.10.2020,
0956625-4,31071926,,"Lextili Oy, Hätilänkatu 1",13210,HÄMEENLINNA,Hämeenlinna,Juoma-agentit Oy,15.07.2021,
3295696-3,31077183,,Taimelantie 19,96460,ROVANIEMI,Rovaniemi,Stand Up Lappi Oy,20.12.2024,
2914975-7,31062635,,PL 50 ,30101,FORSSA,Forssa,Saundi-kaista Oy ,10.09.2018,
2798010-9,31071627,,Hallituskatu 1,28100,PORI,Pori,Duunin Oy,23.06.2021,
0142165-9,31077195,,Rothoviusgatan 1,20500,TURKU,Turku,Kemistklubben vid Åbo Akademi rf,01.10.2025,
3434019-3,31077193,,Korventie 50,39100,HÄMEENKYRÖ,Hämeenkyrö,AikaHommaa Oy,01.06.2025,
2649848-4,31060570,,Nuijamiestentie 10,320,HELSINKI,Helsinki,Food Camp Finland Oy,01.05.2018,
2619508-8,31069600,,Vanha Fiskarsintie 72,10440,BOLLSTA,Raasepori,Susanna Kankare T:mi Kokoni,07.10.2020,
2805054-4,31065494,,Kustaa iii:n katu 8,13100,HÄMEENLINNA,Hämeenlinna,Hämeen keskiaikatapahtumat Oy,07.06.2019,
2675734-3,31077178,,Kuhantie 10,15540,VILLÄHDE,Lahti,Via Deco Oy,01.10.2024,
0132143-9,31064139,,Furulundsvägen 8,25870,DRAGSFJÄRD,Kemiönsaari,Dragsfjärds Ungdomsförening r.f.,20.03.2019,
1487409-1,31062785,,Kärsämäentie 35,20360,TURKU,Turku,TPS Salibandy ry,06.11.2018,
3430315-7,31077206,,"Puusepänkatu 5, Eteläsiipi 8",13110,HÄMEENLINNA,Hämeenlinna,Temperance Brewing Oy,15.08.2025,
1014748-7,31077181,,Tolkisvägen 660,6750,TOLKKINEN,Porvoo,Tolkis Frivilliga Brandkår r.f.,28.10.2024,
2589868-9,31060164,,Murronharjuntie 577,31900,PUNKALAIDUN,Punkalaidun,Jalasjoen Myllypirtti Oy,28.04.2018,
2274632-1,31067536,,Töyrymäki 42,2760,ESPOO,Espoo,Wineserver Tomi Naarvala,01.04.2020,
2968750-4,31077212,,Lemuntie 3-5 B,510,HELSINKI,Helsinki,Yellow Corner Studio Oy,27.10.2025,
2914980-2,31077210,,Asentajankatu 5 a,880,HELSINKI,Helsinki,Base Catering Oy,10.11.2025,
0218738-2,31061226,,Nuijamiestenkatu 1,50100,MIKKELI,Mikkeli,Mikkelin Palloilijat ry,22.05.2018,
0857256-4,31074839,,Huhdintie 304,17200,VÄÄKSY,Asikkala,Salonsaaren Kyläyhdistys r.y.,16.06.2022,
3264615-6,31077175,,Virpapajuntie 1b,85100,KALAJOKI,Kalajoki,Titan Promotion,01.09.2024,
0586946-9,31068388,,Pohjoisranta 8 A,170,HELSINKI,Helsinki,Astrid Charter Oy,27.05.2020,
2525996-7,31062509,,Uudenmaankatu 28 A 16,120,HELSINKI,Helsinki,Event Team Group Oy,06.09.2018,
3340423-9,31076527,,Yrittäjäntie 61,3600,KARKKILA,Karkkila,Liimamäki Ravintolat Oy,01.05.2023,
2638202-7,31069054,,ei toimipaikkaa,2400,KIRKKONUMMI,Kirkkonummi,Wellship Oy ,13.07.2020,
0867393-9,31069701,,Puikkari 5 B,830,HELSINKI,Helsinki,Sir-Trading Oy,01.11.2020,
1093174-9,31061198,,Västervikvägen 282,65280,VAASA,Vaasa,Gerby-Västervik Hembygdsförening - Gerbyn-Västervikin Kotiseutuyhdistys r.f.,12.07.2018,
1108890-9,31077177,,Hautaantie 65,38120,SASTAMALA,Sastamala,Vammalan Eurokaivin ja - Kuljetus Oy,01.09.2024,
2751557-3,31077199,,Härkäpurontie 11A,1800,KLAUKKALA,Nurmijärvi,JetSetClub Oy,01.09.2025,
0904221-5,31066024,,Skrattnäsvägen 227,64100,KRISTIINANKAUPUNKI,Kristiinankaupunki,Härkmeri Ungdomsförening r.f.,23.07.2019,
3120172-9,31068148,,ei toimipaikkaa,16300,ORIMATTILA,Orimattila,Erkkorock Oy,30.04.2020,
3307311-8,31077151,,Miestentie 2A 82,2150,ESPOO,Espoo,Varastoconcept Oy,18.09.2023,
0679845-5,31072589,,Urpontie 333,12240,HIKIÄ,Hausjärvi,Pito-Piiat Oy,18.10.2021,
2386748-3,31067909,,Pakilantie 7,32440,ALASTARO,Loimaa,Alastaron kyläyhdistys ry,15.04.2020,
3096424-9,31067111,,Lotankatu 3 C 23,2680,ESPOO,Espoo,Kulttuurituotanto Kaipaus Oy,22.11.2019,
3494462-4,31077190,,Venteläntie 8,8500,LOHJA,Lohja,Bite me Oy,09.04.2025,
2065264-7,31061896,,Viikinsaarenkatu 5 B 4,33250,TAMPERE,Tampere,PRIME TIME MUSIC OY,13.07.2018,
1428897-3,31060842,,Vuorenmäki 264,61800,KAUHAJOKI,Kauhajoki,Rantalan Liha,31.08.2018,
2389578-3,31077157,,Biolinja 12,20750,TURKU,Turku,Nakki ja Kuppi Oy Parainen,01.02.2024,
3002281-7,31077167,,Pärnämäenraitti 18,32200,LOIMAA,Loimaa,Varsinais-Suomen Traktoriklubi ry,14.05.2024,
2060605-0,31076877,,Santaholmankuja 2 f 29,2160,ESPOO,Espoo,Akwa ravintolat Oy,16.03.2023,
2790205-5,31075209,,Suursuontie 2,10680,SKOGBY,Raasepori,PP Restaurants Oy Ab,23.07.2022,
2860164-1,31062331,,Teuvo Pakkalan katu 11,90100,OULU,Oulu,Pro Piknik Festivals Oy,07.08.2018,
2910920-2,31077136,,Ookilantie 4,61400,YLISTARO,Seinäjoki,Rolling Rock Invest Oy,15.05.2023,
0845194-9,31063868,,Intalantie 23 ,31600,JOKIOINEN,Jokioinen,Humppilan Myyntipalvelu Oy,04.02.2019,
1526323-3,31063733,,Kavallinmäki 15 A,2710,ESPOO,Espoo,Cisa Oy,04.02.2019,
2845268-2,31064441,,Kumpuniementie 7,44910,ELÄMÄJÄRVI,Pihtipudas,Jaana Myllynen,19.07.2019,
0942308-5,31077152,,Salomonkatu 17A,100,HELSINKI,Helsinki,CMB Ravintolat Oy,16.10.2023,
2451030-4,31072367,,Laivanvarustajankatu 1 e 37,140,HELSINKI,Helsinki,AvelVino Oy,08.10.2021,
2029188-8,31064081,,Ratapihantie 13,520,HELSINKI,Helsinki,Haaga-Helia ammattikorkeakoulu Oy,01.04.2019,
0192429-9,31077158,,Hallituskatu 26,96100,ROVANIEMI,Rovaniemi,Rovaniemen Palloseura ry,12.04.2024,
1026972-4,31077165,,Friitalantie 11 B,28400,ULVILA,Ulvila,Ulvilan Yrittäjät r.y.,25.05.2024,
2482874-2,31077180,,Domkyrkotorget 1,20500,TURKU,Turku,Merkantila Klubben rf,04.10.2024,
3417429-5,31077159,,"c/o Kosken Tilikiinteistö Oy, Hämeentie 1",31500,KOSKI TL,Koski Tl,Koskis Happening ry,09.03.2024,
2957954-6,31063944,,Bremerintie 2,3600,KARKKILA,Karkkila,Hassel & Ström Oy,01.03.2019,
2422482-6,31066691,,Marjaniementie 50,20100,TURKU,Turku,Ruissalon Marjaniemi Oy,01.11.2019,
3123846-8,31077184,,Salokunnantie 782,35550,SALOKUNTA,Juupajoki,Nable Oy,01.04.2025,
2247917-1,31076657,,Hatanpään valtatie 1b,33100,TAMPERE,Tampere,Kampin Sirkus Oy,15.03.2023,
3132793-8,31072232,,Aarniometsänkuja 6B,10940,HANGONKYLÄ,Hanko,Koifish Oy,27.08.2021,
1476094-0,31067465,,Tiikarlantie 227,21590,KARUNA,Sauvo,Karunan Urheilijat r.y.,29.01.2020,
0954172-7,31063139,,Katternövägen 16,68800,KOLPPI,Pedersören kunta,Föreningen Kållby Samlingshus r.f.,20.11.2018,
2516722-9,31060701,,Hämeen Härkätie 742,13500,HÄMEENLINNA,Hämeenlinna,Royal Catering Oy,30.04.2018,
1949282-6,31065316,,Puumalantie 166,69600,KAUSTINEN,Kaustinen,Aki Järvelä Oy,01.08.2019,
2919705-4,31064780,,Alaskyläntie 207/42,39780,ALASKYLÄ,Parkano,Parkanon seudun populaarimusiikin ry,28.06.2019,
2890247-9,31077196,,Särmääjänkatu 14,15520,LAHTI,Lahti,Total Region Oy,13.06.2025,
3261496-3,31073817,,Satamakatu 31 A 207,20100,TURKU,Turku,Å Catering Oy Ab,25.04.2022,
2698008-6,31077137,,Eerolantie 5 a,46810,UMMELJOKI,Kouvola,Kymijoen Takaveto ry,01.07.2023,
2830111-2,31072700,,Katinkuja 7,39700,PARKANO,Parkano,Yleismies Kuronen,28.10.2021,
1524542-2,31054344,,Kyröläistentie 43,28130,PORI,Pori,KarmaRock-yhdistys ry,01.07.2022,
