asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2188547-7,30029039,Ravintola Hai Long,Isokatu 8,90100,OULU,Oulu,Wuhan Oy,22.03.2018,
3462803-1,30887314,Ruokapaikka KASARI,Lentokentäntie 75,94500,LAUTIOSAARI,Keminmaa,Ruokapaikka KASARI,28.04.2025,
2916903-7,1065576,Aleksanterin Tuoppi,Pyynikintori 6,33230,TAMPERE,Tampere,H5 Ravintolat Oy,01.07.2019,
2627710-4,30886109,Lopez Tacos Teurastamo,Työpajankatu 2a,580,HELSINKI,Helsinki,RaakaVilli Oy,14.11.2025,13.11.2026
3501321-5,30888861,AkaaFest goes Winter / Monitoimihalli,Köyvärintie 3,37800,AKAA,Akaa,Akaa Entertainment Oy,30.01.2026,01.02.2026
1034503-7,1018080,Kahvila-Ravintola Laivasilta,Laivasilta 11,7900,LOVIISA,Loviisa,Oy C & D Fastfood Ab,01.04.2005,
2245981-6,30886787,Brasserie Deux,Vuolteenkatu 20,33100,TAMPERE,Tampere,Priima-Ravintolat Oy,17.03.2025,
1455073-2,1005006,Sinetän Kylä Krouvi,Sinetänkentäntie 2,97220,SINETTÄ,Rovaniemi,T:mi Ruonelan Kylä Krouvi,02.11.1999,
2606185-6,1063822,Ravintola Zarillo,Puutarhakatu 8,33210,TAMPERE,Tampere,Zarillo Restaurants Oy,01.03.2019,
3013260-2,30884194,Velvet Kork,Kanavaranta 3-7 B 4,160,HELSINKI,Helsinki,Macacos bar Oy,12.04.2024,
2736720-8,30885782,Koiteli Alanya Baari,TERVEYSTIE 2,90900,KIIMINKI,Oulu,Zande avoin yhtiö,20.09.2024,
2693827-5,30883050,Steveco Areena ProClub vip-tilat,Ututie 4,48350,KOTKA,Kotka,KTP-Basket Oy,08.10.2023,
1944909-4,1027196,Tsing-tao ravintola,Kiesikatu 8,20780,KAARINA,Kaarina,Zhang-Peng Oy,01.03.2018,
2193907-6,1028932,Ravintola Riihitähti,Hämeenkatu 58,11100,RIIHIMÄKI,Riihimäki,Kesik-Silta Oy,01.03.2018,
3217561-4,30886398,Presto Pizzeria Leppävaara,Rummunlyöjänkatu 11 A LT 1,2600,ESPOO,Espoo,Markoski24 Oy,30.12.2024,
1985840-2,1021776,Sofram Kebab Pizzeria,Keskuskatu 17,60100,SEINÄJOKI,Seinäjoki,Sofram Kebab & Pizzeria Oy,01.03.2018,
2372155-6,1075385,Fazer Cafe Runeberginkatu,Runeberginkatu 32,100,HELSINKI,Helsinki,Fazer Ravintolat Oy,06.10.2022,
2526991-1,1072987,Penan Pub,Kauppatori 7,75500,NURMES,Nurmes,Pub Olkkari Oy,01.03.2022,
2910985-1,1061003,Ravintola Rautionkulma,Niskapietiläntie 17,55910,IMATRA,Imatra,KarBar Oy,01.06.2018,
3341418-9,30882502,Kung fu Bao,Hatanpää Valtatie 1,33100,TAMPERE,Tampere,Drawer Restaurant Oy,17.07.2023,
2467512-5,30882455,Pancho Villa Seinäjoki Keskusta,Kalevankatu 11-13,60100,SEINÄJOKI,Seinäjoki,Vest-Ravintolat Oy,24.08.2023,
2851972-8,1063216,English Pub  & Basement,Savisilta 1,84100,YLIVIESKA,Ylivieska,AironMaid Oy,03.12.2018,
2026711-6,1035988,Tohninmäen Talo,Kuortaneentie 481,63600,TÖYSÄ,Alavus,Tohninmäen Talo Marika Kaukola,27.08.2010,
3099821-1,1067201,Karku,Poikolantie 2,83900,JUUKA,Juuka,Karhisen Kukot Oy,15.12.2019,
2429259-7,1046390,Lapin Satu,Kattavaniementie 1,97900,POSIO,Posio,Lapin Satu Ky,13.02.2014,
3135302-8,1076346,AnolaKeskus,Suonenjoentie 522,76100,PIEKSÄMÄKI,Pieksämäki,Vedenjakajan Viinitila Oy,13.02.2023,
2548325-6,1044545,Tuparavintola Huppeli,Saaruantie 1,96440,ROVANIEMI,Rovaniemi,Leka Ravintolat Oy,01.07.2013,
1443221-8,30882902,Focus Café,Dalgatan 4,10300,KARJAA,Raasepori,Horsbäck Lunch Café,31.08.2023,
1492055-3,1173283,Rinneravintola Matterhorn,Pujottelutie 1,5800,HYVINKÄÄ,Hyvinkää,Sveitsin Hiihtokeskus Oy,01.03.2018,
1712930-2,1044806,Kellariravintola,Linnankatu 16,20100,TURKU,Turku,Turun Kellariravintola Oy,15.08.2001,
3160266-1,1072366,Luovuus kukkii kaaoksesta,Pieni Roobertinkatu 13,130,HELSINKI,Helsinki,Luovuus kukkii kaaoksesta Oy,15.10.2021,
0109862-8,30882281,Foodsteri Oulu,Rautasepäntie 1,90400,OULU,Oulu,Kesko Oyj,31.08.2023,
2479220-9,1043399,Sirin lounasravintola,Tuulosentie 1,14810,TUULOS,Hämeenlinna,Sirin Lounasravintola Oy,19.03.2013,
3090322-7,1067145,Fuku Ravintola,Leppävaarankatu 3-9,2600,ESPOO,Espoo,Fuxin Oy ,01.01.2020,
3207394-1,1071276,Shinobi,Kalevankatu 36,180,HELSINKI,Helsinki,Shinobi Group Oy,01.06.2021,
0939442-1,1067722,Peurantupa,Hannunkiventie 1,43800,KIVIJÄRVI,Kivijärvi,Villi Peura Oy,16.03.2020,
3501966-8,30887228,Neste Ilotuuli,Kalevalantie 2,82900,ILOMANTSI,Ilomantsi,EFAO Oy,01.05.2025,
3450247-1,30887194,Pitkän Päivän Ilta,Tammelan Puistokatu 37,33500,TAMPERE,Tampere,Pirkanmaan Sekoituspalvelu Oy,10.05.2025,
3101983-9,30881824,HELMI IZAKAYA,hämeenkatu 17,33200,TAMPERE,Tampere,LG Foods Oy,01.06.2023,
2856990-1,30884776,Kino Olympia,Vuorikatu 10,10900,HANKO,Hanko,Friday Capital Oy,14.06.2024,
2041715-3,1061652,Kauppatorin Laituri,Eteläranta 14 Lyypekin Laituri,130,HELSINKI,Helsinki,Adam ja Eva Oy,02.07.2018,
2821323-5,1066258,Ravintola Ukkokari,Ukkokarin saari,65280,VAASA,Vaasa,Ukkokari Production Oy,14.02.2020,
0910257-2,30063663,Las Palmas Hämeenlinna,Raatihuoneenkatu 10,13100,HÄMEENLINNA,Hämeenlinna,Osuuskauppa Hämeenmaa,11.03.2021,
1732382-6,30884580,Johannas Hembakta,Stornäsvägen 40,22410,GODBY,Finström,Grelsby Strand Ab,08.11.2023,
3247745-2,30884408,Ravintola & Bar Lia,Erottajankatu 2,120,HELSINKI,Helsinki,Lia Ravintolat Oy,01.06.2024,
0536473-5,1057445,Vanhiksen terassi,Leirikatu 25,53600,LAPPEENRANTA,Lappeenranta,Pesä Ysit r.y.,01.03.2018,
2131535-1,1058618,Ravintola Myllyranta,Kauppakatu 14,84100,YLIVIESKA,Ylivieska,Frandi Oy,16.10.2017,
3242020-2,30889241,Ravintola Krunni,Kirkkotie 2,91100,II,Ii,Iin Krunni Oy,01.01.2026,
0889358-7,1063142,Hotel Haaga,Nuijamiestentie 10,320,HELSINKI,Helsinki,Hotel Haaga Oy,01.01.2001,
3349659-1,30881842,Bar Tiger,Otto Mannisentie 6,51200,KANGASNIEMI,Kangasniemi,Puulaviihde Oy,05.06.2023,
3397441-8,30888113,Pretty Boy Citycenter,Kaivokatu 8,100,HELSINKI,Helsinki,FlavorFusion Oy,30.06.2025,
2869655-6,1070420,Wok and Noodle,"Aleksanterinkatu 9, Lt 001A",100,HELSINKI,Helsinki,Ronphibun Oy,22.02.2021,
3352122-4,30888038,Kilo Padel Cafe,Kutojantie 4,2630,ESPOO,Espoo,The Park Outdoor Gym Oy,17.06.2025,16.06.2026
