asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2753833-7,30076871,Keisarin Herkku-Aitta,Aleksanterinreitti,48230,KOTKA,Kotka,Tmi Petri Luotio,30.04.2023,
3374659-7,30883340,Presto Pizzeria,Linda Tannerin kuja 2 LT 1,2320,ESPOO,Espoo,Pronto On the Road tmi,20.11.2023,
0243037-0,1034460,Hotelli Kauppi,Kalevanpuistotie 2,33500,TAMPERE,Tampere,Key Hotels Oy,29.06.1990,
1847003-5,1016171,Pöyhölän Pappila,Pöyhöläntie 170,76620,PYHITTY,Pieksämäki,Pöyhölän Pappila Ky,14.11.2003,
0634348-5,1030193,Ravintola Metsähovi,Kummunkatu 14,83500,OUTOKUMPU,Outokumpu,Uudet Urat ky,25.12.2008,
3559369-4,30888949,Ravintola Kinuskilla,"Vanha Valtatie 190, rak 2",4500,KELLOKOSKI,Tuusula,Taste of Joy Oy,01.11.2025,
1965618-1,1069856,Leaf Areena,Kärsämäentie 35,20360,TURKU,Turku,Forever Helsinki Oy,15.12.2020,
0201177-4,1045389,Ravintola Pataässä Kotka,Kapteeninkatu 9,48100,KOTKA,Kotka,Formia-Future Oy,01.10.2013,
2350438-3,1036194,Jams Bar,Hyvättyläntie 8,21420,LIETO,Lieto,Liedon Ravintola Oy,08.10.2010,
2795772-6,30056934,Yyterin Kylpylähotelli,Sipintie 1,28840,PORI,Pori,Yyterin Kylpylähotelli Oy,08.05.2018,
0201177-4,1045443,Hevimesta,Isokatu 36,90100,OULU,Oulu,Formia-Future Oy,01.10.2013,
3154746-3,1076631,Padel King,Pietiläntie 6,13130,HÄMEENLINNA,Hämeenlinna,Hämpton Padel Oy,22.02.2023,
2755038-7,1066883,Ravintola Uusi Kantapaikka,Vuoksenniskantie 83,55800,IMATRA,Imatra,SaimaanKeskus Oy,01.11.2019,
2584800-8,30887453,KH Puutarhakeskus ,Kauksaarentie 1,13800,KATINALA,Hattula,Puutarhaetsivät Oy,07.05.2025,
2325275-3,30885960,Kirsikkakulman Kuppila,Helsingintie 27,24100,SALO,Salo,JanniAreva Oy,01.11.2024,
3135425-8,30882424,Kunnari Pub,kuninkaanlähteenkatu 7,38700,KANKAANPÄÄ,Kankaanpää,Super-KaMa Oy,05.07.2023,
2186884-5,1068111,Harjun Huone Bar & Lounge,Vaasankatu 9,500,HELSINKI,Helsinki,Kallion Tähtihuone Oy,15.04.2020,
0916168-7,1066265,Hotelli-Ravintola Ylläshumina,Äkäslompolo,95970,ÄKÄSLOMPOLO,Kolari,Humina-Loma Oy ,19.11.1993,
3098988-4,1067984,Bar Q Kouvola,Kouvolankatu 30,45100,KOUVOLA,Kouvola,BlindSniper Oy,01.06.2020,
0906333-1,30072865,Ravintola Tehdas/Klubi,Pasilantie 2,46900,INKEROINEN,Kouvola,ISS Palvelut Oy,01.12.2021,
2079546-1,1076500,Teboil Kittilä & Scanburger Kittilä,Valtatie 57,99100,KITTILÄ,Kittilä,Kittilän Liikenneasema Oy,01.02.2023,
1817774-4,30888674,Pub kultahammas,Liitoskuja 1 A,82200,HAMMASLAHTI,Joensuu,Aseman kuppila Iiris Hakkarainen,15.09.2025,
1801261-6,1043283,Spahotel Casino,Kylpylaitoksentie 7,57130,SAVONLINNA,Savonlinna,Primehotels Oy,04.01.2013,
2301647-8,1042159,San luca,Louhentie 2,2130,ESPOO,Espoo,Afjon Oy,15.08.2012,
2825625-1,30056889,Daddy Greens,Humalistonkatu 3 LH 51,250,HELSINKI,Helsinki,Mamu&Maalainen Oy,15.04.2020,
3348840-1,1076952,Hotelli Uoti,Keskustie 1,19700,SYSMÄ,Sysmä,Casa de Sandra Oy,01.04.2023,
1866453-4,1058726,Ravintola Jokeri,Asemakatu 2,84100,YLIVIESKA,Ylivieska,Ylivieskan Ravintolat Oy,01.01.2004,
2129515-1,1053962,Ravintola Olivia,Tiilipojanlenkki 2,1720,VANTAA,Vantaa,Jiamei Kouvola Oy,01.03.2018,
2467766-5,1043053,ABC Tuohikotti,Kauppatie 1,46110,TUOHIKOTTI,Kouvola,Kymen Seudun Osuuskauppa,01.03.2018,
0775819-9,30030183,Ravintola Jehu,Toukkalantie 1,54710,LEMI,Lemi,Mobar Oy,27.04.2018,
0906333-1,1057923,SS Catering Services Danske bank,Televisiokatu 1,240,HELSINKI,Helsinki,ISS Palvelut Oy,18.08.2017,
3453308-3,30885257,Café Konttori,Harvialan Kartano 32,13330,HARVIALA,Janakkala,Harvialan Tapahtumat Oy,04.07.2024,
2725305-9,1052887,Camping Hossan Lumo kahvila,Lumontie 3,89600,SUOMUSSALMI,Suomussalmi,Lenja Oy,01.03.2018,
2424995-1,30039255,Ravintola Mantra,Laivalahdenkaari 42,810,HELSINKI,Helsinki,Omantra Oy,23.04.2018,
3343490-5,30884891,Seurahuone Pub Forenom/  Pikku Seurahuone,Hitsaajankatu 12,810,HELSINKI,Helsinki,Amara Oy,06.06.2024,
2159675-5,1050870,Lilla Roberts,Pieni Roobertinkatu 1-3,130,HELSINKI,Helsinki,Oy Union Hotels Ab,03.08.2015,
2997579-2,30884240,Suvi-Pinx,Suopellontie 644,19700,SYSMÄ,Sysmä,Ilola Inn Oy,01.05.2024,
2776735-9,30885552,Ba Bu Viet Kitchen,Iso Roobertinkatu 15,120,HELSINKI,Helsinki,DO'S KAHVILA OY,01.09.2024,
2631691-9,1048383,Hotel Red & Green,Närpesvägen 16,64200,NÄRPIÖ,Närpiö,Hotel Red & Green Oy Ab,01.11.2014,
2596517-5,1061314,Apianlahti Camping,Pälkäneentie 47,37600,VALKEAKOSKI,Valkeakoski,Ravintola - Paviljonki Apia Oy,30.05.2018,
3505489-3,30888811,Ravintola Esmes,Iso Roobertinkatu 24,120,HELSINKI,Helsinki,Sitä y tätä Oy,01.10.2025,30.09.2026
3475486-3,30886015,Pancho Villa,Tehtaankatu 3-5,67100,KOKKOLA,Kokkola,JMF Food Oy,11.11.2024,
3439775-5,30884494, After Sail 886 Hakkenpää,Hakkeenpääntie 786,23310,TAIVASSALO,Taivassalo,Saariston JuMi Oy,15.05.2024,
2682912-4,1051505,Take the cake,"Myllynkatu 1, tila nro 2320",21280,RAISIO,Raisio,Santsikuppi Oy,01.03.2018,
0183074-3,30886096,Stjärnhallen Nykarleby,Idrottsgränd 1-3,66900,UUSIKAARLEPYY,Uusikaarlepyy,Nykarleby Idrottsklubb rf,08.11.2024,
1559850-0,1071509,Cafe Ön,Jussaari,10600,TAMMISAARI,Raasepori,Varustamo Origo Oy,01.01.2022,
2933458-1,1074970,Noodle Story Freda,Fredrikinkatu 36,100,HELSINKI,Helsinki,Noodle Story Oy,01.07.2022,
2927532-3,1062403,Unelma,Syöttäjänkatu 2,40520,JYVÄSKYLÄ,Jyväskylä,Pohjalammen Ponnistus Oy,31.08.2018,
1754817-9,1052862,Salon taidemuseo Veturitalli,Mariankatu 14,24240,SALO,Salo,"Räntmestarin Krouvi, avoin yhtiö",09.03.2016,
2962231-3,30068533,Hotel Utsjoki,Luossatie 4,99980,UTSJOKI,Utsjoki,Hotelli Utsjoki Oy,11.06.2020,
3319277-4,30887483,Hollolan Pappila,Särkäntie 1,16710,HOLLOLA KK,Hollola,JN Food Oy,03.06.2025,
2858536-2,1063025,Ravintola Izumo Sushi,Iso Kylätie 20,4130,SIPOO,Sipoo,Izumo Oy,01.01.2019,
2627924-9,30048360,Sitko Pizza & Bar,Näsilinnankatu 22,33210,TAMPERE,Tampere,Sitko Pizza Oy,12.06.2020,
0691285-2,30046027,Sälinkään Kartano,Kartanontie 20,4740,SÄLINKÄÄ,Mäntsälä,Sälinkään kartanoseura r.y.,22.07.2022,
1056551-5,1037520,BowlCircus Flamingo,Tasetie 8,1510,VANTAA,Vantaa,Kimmo Lehtonen Oy,01.04.2011,
3561726-2,30889170,Bar Wankkuri,Hannikaisenkatu 16,40100,JYVÄSKYLÄ,Jyväskylä,S&G Crew Oy,27.11.2025,
2371112-0,1070007,Kenkä-Casa,Laivurinkatu 15,92100,RAAHE,Raahe,Casani Ky,24.02.2021,31.01.2026
0212546-4,1778228,Lieksan Ravirata,Jokiranta 8,81720,LIEKSA,Lieksa,Pielisjärven Hevosystäväinseura ry,01.03.2018,
2729148-5,1052607,Ravintola Thamel,Metsänvartijantie 2,2720,ESPOO,Espoo,Diyo Oy,01.02.2016,
3382447-9,30883447,Ravintola Venezia-Solin Oy,Kauppiaskatu 7,21600,PARAINEN,Parainen,Ravintola Venezia-Solin Oy,10.12.2025,
3434434-6,30884793,Panelian Juhlatalo,Paneliantie 28,27430,PANELIA,Eura,Panelianjuhlatalo Oy,10.06.2024,
2245981-6,30052312,Ruby & Fellas Irish Bar,Hämeenkatu 15,33200,TAMPERE,Tampere,Priima-Ravintolat Oy,06.04.2018,
3269524-9,30885971,Konnichiwa kaari,Kantelettarentie 1,420,HELSINKI,Helsinki,DY Trade Oy,01.11.2024,
0693372-5,30882537,Solhem,Viasvägen 95,66140,ÖVERMALAX,Maalahti,Övermalax ungdomsförening rf,01.08.2023,
2112598-8,1040376,Spasso ja Lentävä Lehtipihvi,Tivolikuja 1,510,HELSINKI,Helsinki,Toothpicks and Honey Oy,27.01.2012,
2685290-6,30068118,Holy Smoke BGC,Koulukatu 20,60100,SEINÄJOKI,Seinäjoki,Pyhä Savu Oy,03.04.2020,
3285154-7,1074782,Ravintola Parikar,Teerisuonkuja 1,700,HELSINKI,Helsinki,Sambandha Oy,24.06.2022,
0873697-9,1009588,3215 Afry,Jaakonkatu 3,1620,VANTAA,Vantaa,Compass Group Finland Oy,01.02.2000,
2051125-4,1028155,Napule Pizzeria Napoletana,Kaivokatu 8,100,HELSINKI,Helsinki,Goodcaf Oy,08.04.2008,
0953517-5,30062461,Pub Pikku Katti,Lauttasaarentie 32,200,HELSINKI,Helsinki,Darra Oy,11.09.2018,
2628445-1,30883926,m/y Sweet Hope,Soukanlahdentie 15,2360,ESPOO,Espoo,Rongo Cap Oy,08.03.2024,
3227680-2,1072660,Sushi House Salo,Turuntie 15,24100,SALO,Salo,Hai Yang Oy,03.11.2021,
3465485-4,30885712,Ravintola Caspian,Limingantie 5,90400,OULU,Oulu,Kaspian Cusine Oy,01.10.2024,
2985652-3,30064313,Ristorante Bello,Maakaari 9 A 1,790,HELSINKI,Helsinki,Ipek avoin yhtiö,15.04.2019,
2736745-1,1068364,Flying Cinema Cafe,Katajanokanlaituri 2,160,HELSINKI,Helsinki,FT HELSINKI OY,15.04.2022,
2677443-4,30054969,Riviera,Harjukatu 2,500,HELSINKI,Helsinki,Riviera Movie & Night Oy,24.04.2020,
0993700-0,1064552,Kotipizza Tiiriö,Katsastusmiehentie 6,13130,HÄMEENLINNA,Hämeenlinna,Pitsalmi Oy,01.06.2019,
2685810-1,1072647,Pizzeria Rehtori,Hanjärventie 1,47440,SÄÄSKJÄRVI,Iitti,Ratsuväki Oy,18.11.2021,
3119021-4,30885881,Kahvila Palomaja,Pakilantie 124,670,HELSINKI,Helsinki,Makulux Oy,14.10.2024,
0658353-4,30073478,Wanha Mestari Navetta,Kirkkotie 6,90830,HAUKIPUDAS,Oulu,Restel Ravintolat Oy,04.03.2022,
1099945-2,1003837,Bar Teos,Runeberginkatu 61,260,HELSINKI,Helsinki,Colonna kiinteistöt ja ravintolat Oy,15.11.1999,
2362621-7,1048347,Bar Ihku Oulu,Torikatu 22,90100,OULU,Oulu,Tunturiviihde Oy,27.10.2014,
3421805-9,30887726,PadelOna Arena,kivimiehenkatu 3,37100,NOKIA,Nokia,Krima Oy,01.06.2025,
3203174-1,1071034,Ravintola Golden Nepal,Tinakuja 2,2430,MASALA,Kirkkonummi,Bhairav Oy,05.05.2021,
2630093-3,1048353,Ravintola Kolmas Linja,Linnankatu 88,20100,TURKU,Turku,Nikolai&Nikolai Oy,04.09.2014,
2114468-7,30883676,Ravintola Umpitunneli,Hallituskatu 15,95400,TORNIO,Tornio,Tornio City Hotel & Restaurants Oy,01.02.2024,
3267394-7,30885865,Izza City,Mikonkatu 8,100,HELSINKI,Helsinki,SÄRDOUGH OY,07.10.2024,
2876836-1,1069095,Mimosan Aito,Keskikatu 7,45100,KOUVOLA,Kouvola,Mimosan Aito Oy,04.08.2020,
1740503-9,1020867,Cafe Solo,Pohjoisranta 11 C,28100,PORI,Pori,Cafe Solo Oy,22.09.2005,
1041605-0,30889377,Jääbaari,Säyryläntie 445,42100,JÄMSÄ,Jämsä,Krapina Oy,06.02.2026,14.03.2026
1940738-8,30885621,Leijonatupa,Torikatu 12 Salo,24100,SALO,Salo,Salon Leijona Tupa Oy,01.09.2024,
3208176-5,30071120,Iisveden rantapaviljonki,Kymintie 8,77800,IISVESI,Suonenjoki,Mika Rukola Oy,01.06.2021,
2798858-1,1055840,Ravintola Virasto,Vesijärvenkatu 11,15140,LAHTI,Lahti,O' Stonehill's Oy,08.09.2025,
3154973-3,30069670,Tuntsan Pubi,Naruskantie 450,98960,NARUSKA,Salla,Tuntsan ja Naruskan Tunturilomat Oy,13.10.2020,
3397441-8,30883448,Pretty Boy Wingery Kamppi,Malminrinne 2-4,100,HELSINKI,Helsinki,FlavorFusion Oy,01.12.2023,01.02.2026
3545176-8,30888576,Byroo,"Laivurinrinne 1, LH3",120,HELSINKI,Helsinki,Pelosa Oy,26.08.2025,
2902850-9,1073639,"Kyläkauppa Käntymäki, anniskelu",Sarvelantie 418,39960,SARVELA,Karvia,Kyläkauppa Käntynmäki Oy,24.09.2022,
2754640-9,1071070,La Lux Yacht,Meripellontie 11 D,910,HELSINKI,Helsinki,DA Line OY,13.10.2021,
2842978-1,1059306,Ravintola Sagun,Vuorikatu 24,15110,LAHTI,Lahti,Sagun Oy ,22.01.2019,
1827378-7,1064462,Annen Taidekahvila,Sarapohjantie 173,39960,SARVELA,Karvia,AM-Musiikkipalvelut Oy,01.07.2020,
2398735-4,1068281,Kaupin Keilahalli,Keilakuja 1,33520,TAMPERE,Tampere,Lane Care Oy,15.06.2020,
3197655-9,1071402,Ravintola 16 Boom,Snellmaninkatu 16 lk 6,170,HELSINKI,Helsinki,16 Boom Oy,08.06.2021,
3563983-2,30888947,Pocha korean dinning restaurants,Kulmavuorenkatu 7,500,HELSINKI,Helsinki,Eat Pray Love oy,01.11.2025,31.10.2026
2301561-9,30884913,Tom Yum Thai Restaurant ,"Rewell, Ylätori 2",65100,VAASA,Vaasa,Simnar Oy,07.06.2024,
2086512-4,1033397,Heng Feng-ravintola,Tuusantie 3,3100,NUMMELA,Vihti,Ji Li heng Oy,08.10.2010,
0176011-6,1475741,Nässän baari,Hollikankaantie 154,42910,PIHLAJAVESI,Keuruu,Pihlajaveden Nuorisoseura ry. ,01.03.2018,
2959879-8,30882873,Le Bloom ,Eteläesplanadi 12 ,130,HELSINKI,Helsinki,Next Level Restaurants Oy,01.10.2023,
0652141-3,30063190,Pinehill Terrace,Mäntymäki,250,HELSINKI,Helsinki,Luomus Ravintolat Oy,06.11.2018,
3152795-6,30887658,Ylisen suojala,Kuruntie 980,34130,YLINEN,Ylöjärvi,Taivaspaikka Oy,01.06.2025,
2743148-4,30064425,Kesäkahvila-Ravintola Seili,"Seili, Postilaituri 1",21660,NAUVO,Parainen,Rederi Ab Vitharun,20.04.2020,
3286997-4,1075684,Snö Kitchen & bar,Talmantie 341,4240,TALMA,Sipoo,Lumihuippu Oy,01.11.2022,
1095079-8,30886364,Privat Island,Kuusamontie 900,96900,SAARENKYLÄ,Rovaniemi,Santapark Oy,13.12.2024,
1456725-1,30069412,Kaapelin Konttori,Tallberginkatu 1,180,HELSINKI,Helsinki,Kaapelin Mediakeskus Oy,25.05.2021,
0920150-3,30889383,Backyard soul food Americano,Suupohjantie 57,60320,SEINÄJOKI,Seinäjoki,Momento Fastfood Oy,23.02.2026,
0907890-4,1020568,Toimihenkilökerho,Kerhokuja 3,55400,IMATRA,Imatra,Sodexo Oy,05.09.2005,
2560452-1,1071025,Kahvila-ravintola Luokka,Raatteentie 126 A,89800,SUOMUSSALMI KK,Suomussalmi,Metcasa Oy,29.05.2021,
1443037-8,30885629,Loviisan Ravirata,Kuningatterenkatu 52,7900,LOVIISA,Loviisa,"Itä-Uudenmaan Oriyhdistys ry, Östra Nylands Hingstförening rf / Östra Nylands Hingstförening rf, Itä-Uudenmaan Oriyhdistys ry",01.09.2024,
2688230-4,1054191,Ravintola Taj,Itäinenkatu 11,33210,TAMPERE,Tampere,Aulakh Oy,27.06.2017,
0906333-1,1068984,Maple Street,Karvaamokua 2 D,380,HELSINKI,Helsinki,ISS Palvelut Oy,03.08.2020,
2612603-1,1073222,Easy Peasy,Keskuskatu 33,48100,KOTKA,Kotka,Soolo Max Oy,29.03.2022,
2199747-9,30029430,Lapland Hotel Sky Ounasvaara,Ounasvaarantie,96400,ROVANIEMI,Rovaniemi,Lapland Hotels Lappi Oy,19.04.2018,
1559950-3,1037386,m/s Emma,Kauppatori,170,HELSINKI,Helsinki,Sun Ferry Oy,01.04.2011,
3454763-7,30885633,CaiJi Noodle House,Ajurinkatu 16,70110,KUOPIO,Kuopio,Cai Sheng Oy,01.09.2024,
1041700-2,1052641,Karhusaaren kalastuskeskus,"Karhusaari, Kuutsalo",48100,KOTKA,Kotka,Wanha Fiskari Oy,11.03.2020,
0966544-7,1074046,Kyllikinrannan tanssilava,Eteläntie 249,74100,IISALMI,Iisalmi,Ulmalan Nuorisoseura r.y.,01.06.2022,
0669952-9,1069916,"Pallokenttä, Akilles Pub",Lukiokatu 22,6100,PORVOO,Porvoo,Borgå Akilles - Porvoon Akilles r.f.,01.01.2021,
2191625-3,1050160,di Trevi,Aurakatu 1,20100,TURKU,Turku,Restacafe Trading Oy,01.04.2015,
1737880-0,30061719,Mamma Rosa,Runeberginkatu 55,260,HELSINKI,Helsinki,Kaukoravintolat Oy,05.05.2020,
2000781-6,1028515,Vaihmalan Hovi,Vaihmalantie 144,37500,LEMPÄÄLÄ,Lempäälä,Mamarest Oy,25.04.2008,
2719486-1,1068477,"Salakapakka, Lapin Panimopub",Teollisuustie 14 B,96320,ROVANIEMI,Rovaniemi,Lapin Panimo Oy,01.06.2020,
3350004-4,30882841,Kummastus,Kauppiaskatu 3,20100,TURKU,Turku,Ravintolamafia Oy,23.08.2023,
0658353-4,1040010,"Wanha Mestari, Tornio",Hallituskatu 5,95400,TORNIO,Tornio,Restel Ravintolat Oy,14.06.1977,
1404661-6,1271041,Sepänniemen Lomakylä,Niemenkyläntie 250,63600,TÖYSÄ,Alavus,Tmi Lissun Loma- ja Ohjelmapalvelu,01.03.2018,
3330685-8,30881410,Ravintola Villa Nepal Kivistö,Keimolantie 7,1700,VANTAA,Vantaa,goodfood oy,08.05.2023,
0873697-9,1006287,3498 Ravintola Smarthouse,Elektroniikkatie 8,90570,OULU,Oulu,Compass Group Finland Oy,01.12.1999,
2577855-6,1064760,Kyläpanimon olutpuoti/baari,Matildan puistotie 4,25660,MATHILDEDAL,Salo,Mathildedalin Panimo Oy,07.05.2019,
2611664-2,30882404,Ravintola Höyry,"Tervasharjunkatu 1, 2 kerros",45720,KUUSANKOSKI,Kouvola,KooKoo Hockey Oy,04.08.2023,
3277364-9,30074414,Anttolanhovi,Hovintie 224,52100,ANTTOLA,Mikkeli,Saimaanranta Resort Oy,01.06.2022,
2615652-1,1069978,Cantina Pirate,Pernontie 20,20240,TURKU,Turku,Railbar Oy,08.01.2021,
0873697-9,30886094,0470 Bistro Kaffeli,Ruukintie 2,60100,SEINÄJOKI,Seinäjoki,Compass Group Finland Oy,03.12.2024,31.01.2026
3359627-7,30883266,Matildan Kievari Oy,Meritie 3,25660,MATHILDEDAL,Salo,Slant Consulting,01.12.2023,
2743148-4,30884523,Restaurang Galeasen,"Lappo, Brändö",22840,LAPPO,Brändö,Rederi Ab Vitharun,10.05.2024,
2852440-4,1070970,Be My Guest Ravintola,Välimerenkatu 14,220,HELSINKI,Helsinki,Viet-nam-nam Oy,11.05.2021,
2757289-3,1068671,Pizzeria Roihu,Kauppakatu 23 A,80100,JOENSUU,Joensuu,Pizzeria Roihu Oy,04.07.2020,
2794248-7,1058542,Ravintola Pirttihirmu Espoo,Piispansilta 11,2230,ESPOO,Espoo,Espoo Activity Park Oy,19.10.2017,
2688388-4,1050686,Kahvila IPI,Porthaninkatu 13,530,HELSINKI,Helsinki,Kahvila IPI Oy,01.03.2018,
2665709-4,1049687,Bar Koivu,Sävelkuja 3,20740,TURKU,Turku,Harimax Oy,02.03.2015,
2478700-4,1041592,Sun Bowling,Jukupolku 3,85100,KALAJOKI,Kalajoki,SunBowling Oy,01.06.2012,
2771599-7,1074390,Keskipiste,Virastotie 4,41230,UURAINEN,Uurainen,Marjoniementila Oy,20.05.2022,
2220777-4,1034780,Kiikoisten Nuorisoseurantalo,Kiikoistentie 47,38360,SASTAMALA,Sastamala,Kiikoisten Nuorisoseura r.y.,01.03.2018,
3207335-1,30885194,Noodle Master,Hermannin rantatie 5,580,HELSINKI,Helsinki,Dong Fu Lai Oy,01.07.2024,
2376607-6,1052819,Hasta la Pasta,Alikatu 9,21100,NAANTALI,Naantali,Jogurt bar Oy,14.04.2017,
2875058-3,1059308,MyBiljardi & Bar,Liesikuja 4,1600,VANTAA,Vantaa,Trick Billiard-Bar Oy,01.01.2018,
0209680-0,1272494,Kotipesä,Riippusillantie 2,62800,VIMPELI,Vimpeli,Martti Isoniemi Ky,01.03.2018,
2046727-3,1070691,Haltia Lake Lodge,Solvallanrinne 2,2820,ESPOO,Espoo,Foribon Oy,01.06.2021,
0910257-2,30886863,Alex & Ines Lahti,Aleksanterinkatu 19-21,15110,LAHTI,Lahti,Osuuskauppa Hämeenmaa,14.04.2025,
2719421-2,30885767,Invisible Forest Lodge,Ketavaarantie 21,96900,SAARENKYLÄ,Rovaniemi,Polar Explorer Oy,01.11.2024,
1873718-2,1075924,Wilderness Hotel Juutua,Saarikoskentie 2,99870,INARI,Inari,Nellim Wilderness Hotels & Safaris Oy,01.12.2022,
0916489-6,1075312,Ravintola Bonneville,Salpausselänkatu 27,45100,KOUVOLA,Kouvola,Ukkokulta Oy,08.09.2022,
2543719-6,1048392,Kahvila Donner,Kankurinkatu 4-6,5800,HYVINKÄÄ,Hyvinkää,MargEmil Catering Oy,23.09.2014,
0724998-4,1020089,Ravintola Base,Leppävaarankatu 3-9,2600,ESPOO,Espoo,Ravintola Alberga Oy,29.08.2005,
3298858-6,1075267,Ravintola Royal Nepal,Nuijatie 2,1650,VANTAA,Vantaa,Kunti Oy,15.08.2022,
0873697-9,30882289,3117 Aallon huippu,Alvar aallon katu 5,100,HELSINKI,Helsinki,Compass Group Finland Oy,01.08.2023,
2804599-9,1065008,Kotipizza,Hallituskatu 6,50100,MIKKELI,Mikkeli,MO Tervo Oy,17.05.2019,
2206080-5,30070170,Koivumäen Kartano,Koivumäenkuja 18,70800,KUOPIO,Kuopio,Koivumäen Kartano Oy,27.01.2021,
1481524-3,1048550,Whisky Bar,Yliopistonkatu 19,20100,TURKU,Turku,Suomen Gentop Oy,01.12.1998,
3273575-7,30076250,Ravintola Golf Talma,Nygårdintie 115-116,4240,TALMA,Sipoo,Double Tap Oy,01.01.2023,
