asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
0647239-1,1060626,Finnkino Kinopalatsi,Kaisaniemenkatu 2,100,HELSINKI,Helsinki,Finnkino Oy,23.05.2018,
2491575-8,1042287,Kartanohotelli Saari,Susisaarentie 12-14,85900,REISJÄRVI,Reisjärvi,Kartanohotelli Saari Oy,10.09.2012,
1062572-5,30060054,Pizzeria Napoli,Aleksanterinkatu 31,33100,TAMPERE,Tampere,Merluzzo Oy,30.04.2020,
2402743-5,1038642,Pueblo Bar y Taqueria,Eerikinkatu 27,180,HELSINKI,Helsinki,Zocalo Oy,29.07.2011,
2179264-1,1057570,Cafe Trapetsi,Salminiituntie 37,23360,KUSTAVI,Kustavi,ArtTeatro avoin yhtiö,01.03.2018,
2228941-5,1061477,Levain Ullanlinna,Korkeavuorenkatu 21,130,HELSINKI,Helsinki,W-Restaurants Oy,01.08.2018,
2561478-9,1045715,Huittisten keila- ja pelihalli,Lintuparventie 6,32700,HUITTINEN,Huittinen,Huittisten keila- ja pelihalli Oy,10.11.2013,
3256127-5,1073341,Ravintola Seireeni,Linnankoskenkatu 45,6100,PORVOO,Porvoo,Seireeni Ravintolat Oy,01.03.2022,
2961458-3,1063874,Ravintola Yarsa,Kajaaninkatu 2,510,HELSINKI,Helsinki,Yarsa Oy,01.03.2019,
1730955-7,30028299,Ravintola Mt. Everest,Vilhonkatu 9,100,HELSINKI,Helsinki,Restaurant Aamaa Oy,10.04.2018,
0188971-0,1037944,Jyrkkäkosken huvikeskus,Jyrkkäkoskentie,93100,PUDASJÄRVI,Pudasjärvi,Pudasjärven Urheilijat ry,01.03.2018,
3303499-5,1075321,Kasarmin Veljeskerho,Kasarmikatu 16,130,HELSINKI,Helsinki,Bona Sapor Oy,18.08.2022,
3358255-3,30882097,Suomenlinnan Upseerikerho,Suomenlinna C 53,190,HELSINKI,Helsinki,Kokkitehdas Oy,26.06.2023,
2689889-1,1064525,Kiteen Grilli,Kiteentie 14 C,82500,KITEE,Kitee,Kulkurin hovi OY,01.05.2019,
3413208-7,30884268,m/s Rudolfina,Läntinen Rantakatu / Aurajoki,20100,TURKU,Turku,AV Lines Oy,20.04.2024,
1715252-9,30046786,Faro Channelside Bar & Restaurant,Kellosaarenranta 2,180,HELSINKI,Helsinki,ST-Ravintolat Oy,01.05.2018,
0658353-4,1055204,Ravintola Wanha Mestari Jämsä,Keskuskatu 5,42100,JÄMSÄ,Jämsä,Restel Ravintolat Oy,01.01.1965,
2613026-8,1047239,Ravintola Huvila,Sibeliuksenkatu 5,4400,JÄRVENPÄÄ,Järvenpää,Ginesis Oy,06.06.2014,
1484075-6,1043301,Kasi Bar,Rautalammintie 20,77600,SUONENJOKI,Suonenjoki,T:mi Suonenjoen Kasi Bar,21.01.2013,
0201228-3,1050148,Helsingin Pörssiklubi-Helsingfors,Fabianinkatu 14 A,100,HELSINKI,Helsinki,"Helsingfors Börsklubb rf, Helsingin Pörssiklubi ry",16.09.2003,
2274928-2,30886466,Pranzeria Sorrento,Viestikatu 1-3,70700,KUOPIO,Kuopio,Elettra Oy,24.01.2025,
1054984-9,1075780,Olutravintola Sockenbacka,Turkismiehentie 2,370,HELSINKI,Helsinki,TP Resta Oy,28.10.2022,
2210462-8,30049292,Maltainen Metso,Ratatie 11,1300,VANTAA,Vantaa,Restafix Oy,05.06.2020,
