asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
2396046-9,1075946,Juhla- ja kokousalus Sorella,Ukonniementie 441,51200,KANGASNIEMI,Kangasniemi,Sepon Konttori,02.12.2022,
2433417-9,1039982,Ravintola Siilinpesä,Siilitie 1,800,HELSINKI,Helsinki,Wanha Siili Oy,01.12.2011,
2072041-9,1068424,Matkustaja-alus M/S Lily,Läntinen Rantakatu 35,20100,TURKU,Turku,West Coast Seaservice Oy Ltd,01.06.2020,
2755619-9,1054340,Wille - Olohuone ja keittiö,Äänekoskentie 311,44100,ÄÄNEKOSKI,Äänekoski,Honkonen & Peltola,01.03.2018,
3429316-3,30885658,Burger Company Oulunkylä,Maaherrantie 34,650,HELSINKI,Helsinki,Kaibigan Oy,05.09.2024,
2666271-5,30887450,Camp FinLake,Avustie 210,16900,LAMMI,Hämeenlinna,Ulla Kuusniemi,23.05.2025,
3009222-5,1065960,Cantina Gringo,Vanhakoivistontie 27,28360,PORI,Pori,Pirmaka Oy,14.08.2019,
2936244-3,1063793,"Neste, Tolosenmäki",Joensuuntie 304,82380,TOLOSENMÄKI,Kitee,Liikenneasema Purola Oy,01.03.2019,
0972362-7,1028666,Ravintola Hannes,Vappulantie 235,8700,LOHJA,Lohja,Hannu Harva Oy,12.06.2008,
2933456-5,1063384,Wood Bar,Pakkahuoneenkatu 26,90100,OULU,Oulu,Iloinen-Invest Oy,01.01.2019,
3200667-7,30071239,Helsinki Bryggeri Brewhouse,Sofiankatu 2,170,HELSINKI,Helsinki,Local Brewery Restaurants Oy,07.06.2021,
3370492-8,30882832,Bierhaus München,Töölönlahdenkatu 3,100,HELSINKI,Helsinki,Bierhaus Munchen Oy,01.01.2024,
3339926-5,30881131,Kalajärvi Beach Oy,Kalajärventie 6,61100,PERÄSEINÄJOKI,Seinäjoki,Kalajärvi Beach Oy,02.05.2023,
2869343-5,1073123,CafeBarKino,Valtakatu 12,94100,KEMI,Kemi,Kemin Kino Oy,07.01.2022,
0155602-7,1067293,Ravintola Holvi,Hämeenkatu 12,33100,TAMPERE,Tampere,Juvenes Oy,02.01.2020,
