asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3542756-5,30889324,Ravintola Rubiini,Jousimiehentie 3,740,HELSINKI,Helsinki,Tulip Rose Oy,24.12.2025,31.03.2026
2755807-1,1062504,Ränni Bar,Savontie 1,76100,PIEKSÄMÄKI,Pieksämäki,Virtasalmen Matkailu Oy,17.09.2018,
2680916-6,30886581,Roba Buona,Iso Roobertinkatu 17-19,120,HELSINKI,Helsinki,Farfalla Oy,05.02.2025,04.02.2026
2933097-8,30884084,Ravintola Uoma,Rauhankatu 5,13100,HÄMEENLINNA,Hämeenlinna,JJ RestaTeam Oy,03.05.2024,
1026154-6,1083038,Alitalo,Pietiläntie 138,8800,LOHJA,Lohja,Ciderberg Oy,08.05.1996,
1538415-8,1069994,Deniz Pizzeria Zozan,Vanha Tampereentie 14-16,39500,IKAALINEN,Ikaalinen,Tmi Deniz Pizzeria Zozan,10.12.2020,
2685433-8,1052155,Local Breakfast & Lunch,Torikatu 16,80100,JOENSUU,Joensuu,Joensuun Keittäjät Oy,23.11.2015,
2543268-6,1044244,Pub Pieni Karhu,Lahdenkatu 15,15110,LAHTI,Lahti,Lahden Je-Ni Oy,17.05.2013,
3532677-2,30888601,osaka teppanyaki,"kauppakeskus, iskoskuja 3a 2krs",1600,VANTAA,Vantaa,myyrmanni teppan oy,01.09.2025,
2930136-8,30887718,Saaren Pizza & Kebab,Keskitie 1,44500,VIITASAARI,Viitasaari,Saaren Pizza,27.05.2025,
0595182-5,1276431,Kioskens Inhängnad Terass,Monäs,66970,HIRVLAX,Uusikaarlepyy,Lillöns Garantiförening r.f.,01.03.2018,
2191410-0,1031865,Haapajärven jäähalli,Ståhlberginkatu 10,85800,HAAPAJÄRVI,Haapajärvi,Haapajärven Jääurheilukeskus Oy,01.03.2018,
3105619-7,1071608,Ravintola Piano 1,Karhusuontie 75,780,HELSINKI,Helsinki,Ravintola S.R. Oy,01.07.2021,
1006136-8,1052291,London,Puistokatu 2-4 / Kolmikulma,40100,JYVÄSKYLÄ,Jyväskylä,Suomen Ravintolatoimi Oy,01.01.2016,
0910257-2,1017063,Karaokeravintola Las Palmas,Rautatienkatu 15,15110,LAHTI,Lahti,Osuuskauppa Hämeenmaa,30.08.2004,
2069706-0,1072434,Merita Pizza-Kebab,Toripolku 2,91980,LUMIJOKI,Lumijoki,Merita Pizza-Kebab,01.10.2021,
3210358-1,1076431,Maxine,"Urho Kekkosen katu 1 A, 6.krs",100,HELSINKI,Helsinki,Stadin Night Oy,01.04.2023,
2764319-6,1069870,Café Uksakka,Pyhä-Luostontie 1266,99555,LUOSTO,Sodankylä,Luoston Porosafarit Oy,01.12.2020,
2854694-5,1075668,Rioni Espoo,Espoonlahdenkatu 4,2320,ESPOO,Espoo,Ravintola Rioni Oy,24.10.2022,
2072041-9,30076911,Vohvelikartano,Kesäkodintie 14,26100,RAUMA,Rauma,West Coast Seaservice Oy Ltd,01.06.2023,
1926497-0,1070145,Lucky Lady,Kirkonkyläntie 5,700,HELSINKI,Helsinki,Riitta-Liisa Piiroinen Oy,01.02.2021,
1030124-5,1045853,Ravintola Caballo Bayo,Kauppakatu 8,8100,LOHJA,Lohja,Ravintola Demi Sec Oy,01.07.1987,
0357771-0,1074124,Christmas House Restaurant,Tähtikuja 2,96930,NAPAPIIRI ROVANIEMI,Rovaniemi,Santa Claus Holiday Village Oy,01.05.2022,
