asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
1736268-1,1004015,Golden Source,Valtakatu 19,37600,VALKEAKOSKI,Valkeakoski,Zeng Hui Avoin yhtiö,01.03.2018,
1800986-3,1061209,Ravintola Iso Paja,Radiokatu 3,240,HELSINKI,Helsinki,Henri Häkkinen Oy,04.06.2018,
2796623-5,1056044,Rantakulman Kahvila-ravintola,Asematie 4,72600,KEITELE,Keitele,Rantakulman Kahvila-ravintola ja suoramyynti Oy,13.02.2017,
2199747-9,30029436,Lapland Hotel Hetta,"Hetta, Ounasjärvi",99400,ENONTEKIÖ,Enontekiö,Lapland Hotels Lappi Oy,17.05.2018,
1259862-8,1030292,Pikku Thai Ravintola,Asemakatu 29,90100,OULU,Oulu,Oulu Pikku Thai Ravintola,01.11.2008,
1006136-8,1052276,Nightclub Lumo,Kalevankatu 2,60100,SEINÄJOKI,Seinäjoki,Suomen Ravintolatoimi Oy,01.01.2016,
1561947-1,1871457,Ravintola Crecian,Kirkkokatu 55,90120,OULU,Oulu,Oulun Crecian Oy,27.11.2000,
3095044-5,1073963,Ravintola Keiju,Keijutie 36 A,15700,LAHTI,Lahti,Ravintola Keiju Oy,02.05.2022,
2467766-5,30043069,Sokos Hotel Vaakuna Kouvola,Hovioikeudenkatu 2,45100,KOUVOLA,Kouvola,Kymen Seudun Osuuskauppa,01.07.2020,
2287240-8,30887402,Kuohu Pub,Kasperintie 4,31500,KOSKI TL,Koski Tl,Tmi TanyArt,29.05.2025,
2447278-2,1040432,IL FARO,Suolakivenkatu 24 E,810,HELSINKI,Helsinki,Jesan Oy,01.02.2012,
3495586-8,30886634,Hanayagi Omakase,Kasarmikatu 25,130,HELSINKI,Helsinki,Hanayagi Omakase Oy,02.04.2025,
0658353-4,1050172,Ravintola Central,Pietarinkatu 15,140,HELSINKI,Helsinki,Restel Ravintolat Oy,10.04.1965,
1771143-1,30042322,Tommy Knocker American Craft Beer,Iso-Roobertinkatu 13,120,HELSINKI,Helsinki,Momentin Restaurants Oy,21.03.2018,
2112598-8,30886975,Draft Sports Bar,"Firdonkatu 2, 3018 ",520,HELSINKI,Helsinki,Toothpicks and Honey Oy,01.04.2025,
1603507-2,1057796,Ravintola Blue Moon,Lansantie 23 B,2630,ESPOO,Espoo,Stop in Oy Mobin,12.07.2017,
0873697-9,1005064,3548 Kasarmiravintola,Paraatikenttä 5,45130,KOUVOLA,Kouvola,Compass Group Finland Oy,20.04.2005,
3473218-9,30885919,Nanda Devi ,Näsilinnankatu 17 ,33210,TAMPERE,Tampere,Ravintola Indian Part avoin yhtiö,11.10.2024,
3017995-3,1066430,Hyvä Aatos,Aleksanterinkatu 30,15140,LAHTI,Lahti,Mariviks Oy,01.11.2019,
3236206-5,30888895,Matsi JPS Viitaniemen liikuntapuisto,Kisakatu 18,40720,JYVÄSKYLÄ,Jyväskylä,TT Ravintolat Oy,15.11.2025,31.03.2026
3370140-1,30886750,Pub Stella,Kuninkaantie 72-74,65320,VAASA,Vaasa,Club Plazzo Oy,28.02.2025,
2508016-6,1066148,Jakkis Pub,Huokotie 1,770,HELSINKI,Helsinki,Arslan Ravintolat Oy,01.09.2020,
1179751-0,30889291,Ankkurinappi,Keskustie 22,71160,RIISTAVESI,Kuopio,Seppo Saarelainen,19.12.2025,18.12.2026
2507488-2,1054130,Elämyssaari,Porosalmentie 313,58900,RANTASALMI,Rantasalmi,Järvisydän Oy,01.07.2016,
3223152-4,30883376,Taste of Karkkila ja Mama Sherifi Ravintola,Huhdintie 10-12,3600,KARKKILA,Karkkila,Mama Sherifi Ravintola Oy,01.12.2023,
2925730-1,30062265,Seo Monttu ,Keskuskatu 17,31600,JOKIOINEN,Jokioinen,Microm Oy ,17.08.2018,
0210010-1,30886397,Opetusravintola Herkkuvakka,Kosteenkatu 1,86300,OULAINEN,Oulainen,Jokilaaksojen koulutuskuntayhtymä,07.01.2025,
1709934-2,1052342,Ravintola Oldi,Aleksanterinkatu 9,15110,LAHTI,Lahti,Koivuhuone Oy,28.12.2015,
0208265-2,1067733,Sokos Hotel Alexandra,Hannikaisenkatu 35,40100,JYVÄSKYLÄ,Jyväskylä,Osuuskauppa Keskimaa,10.01.2003,
2196357-8,1066003,Pancho Villa Veturi,Tervasharjunkatu 1,45720,KUUSANKOSKI,Kouvola,JH-Ravintolat Oy,23.09.2019,
0201177-4,1034965,Ravintola Nightclub Erottaja Night,Erottajankatu 15-17,130,HELSINKI,Helsinki,Formia-Future Oy,01.06.2010,
1800986-3,1055759,Panorama Bistro & Bar Helsinki,Tyynenmerenkatu 14,220,HELSINKI,Helsinki,Henri Häkkinen Oy,01.02.2017,
2109676-9,1075285,Hotelli Puustelli Lieksa,Hovileirinkatu 3,81700,LIEKSA,Lieksa,Joella Invest Oy,01.09.2022,
2294425-6,1073682,Ravintola Portside,Tallimäentie 8,25900,TAALINTEHDAS,Kemiönsaari,Minikai Oy,01.05.2022,
3114248-2,1076027,Ristorante Charlie,Ukkohauentie 11-13 LH 11,2170,ESPOO,Espoo,Fin-Palvelut Oy,01.12.2022,
1539263-3,1047197,Hevi's Deli,Halituskatu 10,95400,TORNIO,Tornio,Tmi Hevi Pizza,01.03.2018,
2803239-7,30071654,Mokkis Stop-In Grill,Glasbruksgatan 2,10960,HANKO POHJOINEN,Hanko,Mokkis Stop-In Grill Ab Oy,23.06.2021,
1562033-3,1067335,Ravintola Harakanpesä,Leipurinkuja 2,2650,ESPOO,Espoo,KK Marilyn Club Oy,15.01.2020,
2980506-4,1064036,Laivakoira,Tehtaankatu 34 D 2,150,HELSINKI,Helsinki,Commodus Oy,27.03.2019,
3398789-2,30883574,Kotipizza Käpykangas,Kuurnankatu 1,80100,JOENSUU,Joensuu,K&S perhepizza Oy,28.12.2023,
2199747-9,30888790,LH Catering Revontulikartano,Luttojoentie,99830,SAARISELKÄ,Inari,Lapland Hotels Lappi Oy,01.10.2025,
3274828-3,30887263,Skiffer Sääksjärvi,Sääksjärventie 30 ,5200,RAJAMÄKI,Nurmijärvi,Electric Experience Oy,01.05.2025,
3192005-3,30887410,Restaurang Rökstugan,"Satamakatu 13, ",10900,HANKO,Hanko,Put It In Oy,01.05.2025,30.04.2026
3233449-4,1073030,Bubbla,Vilhonkatu 6,100,HELSINKI,Helsinki,Haave Helsinki Oy,20.01.2022,
2229409-7,1042597,Kahvila-Ravintola Iltalypsy Iisalmi,Kilpivirrantie 3,74120,IISALMI,Iisalmi,Iltalypsy Oy,03.10.2012,
2108396-8,1028714,m/s Princess Anne,Matkustajasatama,70100,KUOPIO,Kuopio,Lakeland Lines Oy,15.05.2008,
0709620-1,1077909,Cafe Carelia,Mannerheimintie 56,260,HELSINKI,Helsinki,Ravintola Carelia Oy,10.09.1996,
1952494-7,1070143,Allas Sea Pool,Katajanokanlaituri 2 A,160,HELSINKI,Helsinki,NoHo Partners Oyj,01.03.2023,
0741527-6,30031143,Hotelli Nuuksio,Naruportintie 68,2860,ESPOO,Espoo,Hotelli Nuuksio Oy,19.03.2018,
3485145-2,30886290,Speakeasy,Itäkatu 1-5,930,HELSINKI,Helsinki,Rixi Ravintolat Oy,16.12.2024,
