asiakastunnus,lupanumero,nimi,katuosoite,postinumero,postitoimipaikka,kunta,asiakkaan-nimi,alkamispaivamaara,paattamispaivamaara
3398753-4,30884417,Enonkosken Kartano,Urheilukentäntie 1,58175,ENONKOSKI,Enonkoski,Enonkosken Kartano Oy,06.05.2024,
3222014-7,1072165,Dragon Sheng,Suokatu 36,70110,KUOPIO,Kuopio,Hong Bo Oy,01.10.2021,
2927674-8,1062347,Bar Into,Yliopistonkatu 12 a,20100,TURKU,Turku,Hectoresta Oy,01.09.2018,
1529007-1,1015929,Vuosaaren Kebab  & Pizzeria,Mustalahdentie 4,960,HELSINKI,Helsinki,Dikmen Ky,01.03.2018,
2617547-4,1076371,Hotelli Raahen Hovi,Kirkkokatu 28,92100,RAAHE,Raahe,Hotelli Raahen Hovi Oy,17.01.2023,
2033337-1,1051717,Holiday Club Caribia,Kongressikatu 1,20540,TURKU,Turku,Holiday Club Resorts Oy,01.10.2015,
0280952-4,1035906,Jeppo ungdomsföreningslokal,Östra Jeppovägen 11,66850,JEPUA,Uusikaarlepyy,Jeppo ungdomsförening rf,01.03.2018,
3161958-6,30887914,Loimu Resort,Tirroniementie 4C,95980,YLLÄSJÄRVI,Kolari,Team Lompsit avoin yhtiö,01.07.2025,
1597178-2,1003547,Lappeenrannan jäähalli,Kisakatu 9,53200,LAPPEENRANTA,Lappeenranta,Liiga-Saipa Oy,13.09.2004,
1985906-9,1066586,Biitsi Tripla,Fredikanterassi 1 LT M-P6-14,520,HELSINKI,Helsinki,Suomen Beach Volley Oy,15.10.2019,
3508007-1,30886910,Lauhansarvi,Lauhanvuorentie 490,64900,ISOJOKI,Isojoki,Fabig Oy,01.04.2025,
3021433-3,1070463,Wino,Fleminginkatu 11,500,HELSINKI,Helsinki,Winokas Oy,01.05.2022,
2991575-7,1076888,Funky Woo,Aleksanterinkatu 20,33100,TAMPERE,Tampere,Deliciosa Oy,06.04.2023,
1087209-9,1272914,Bar Bristol,Hämeenkatu 16,20500,TURKU,Turku,Turun Kolmosvoitto Oy,27.04.1998,
3240239-7,1072562,Hupikeskus Karhula,Koskentie 6,42100,JÄMSÄ,Jämsä,Hupikeskus Karhula Oy,03.11.2021,
2290066-7,1053117,Hanko Sushi Oulu,Isokatu 24 - 25,90100,OULU,Oulu,Sushi World Oy,01.03.2018,
2825328-8,1056945,Tappen Bar,Kustaankatu 7,500,HELSINKI,Helsinki,Figaro's Cafe Oy,12.06.2017,
0750509-5,1050210,Elite,Eteläinen Hesperiankatu 22,100,HELSINKI,Helsinki,Royal Ravintolat Oy,02.01.2003,
3200894-7,30882526,Kotipizza Hamina,Sibeliuskatu 32 B 22,49400,HAMINA,Hamina,Remibo Oy,01.08.2023,
1983766-0,1021038,vehkaCenter,Vehkakuja 1,5830,HYVINKÄÄ,Hyvinkää,vehkaCenter Oy,01.03.2018,
2849504-1,1058443,Sun Steakhouse Restaurant,Rannikkotie 31 B,2580,SIUNTIO,Siuntio,Kara Kuzu Oy,23.10.2019,
2903010-7,1060474,Bar Pataruukki,Juankoskentie 22,73500,JUANKOSKI,Kuopio,Bar Pataruukki Oy,21.05.2018,
0947651-5,30062193,Hotelli Samperin Savotta,Samperintie 34,98800,SAVUKOSKI,Savukoski,Samperi Oy,19.07.2018,
2445873-7,1054966,Ravintola Xin Long,Tapiontori 3 B,2100,ESPOO,Espoo,Yong Fu Oy,01.11.2016,
3337216-9,30889228,Koto Bento Ravintola,Annikanlaituri 1,810,HELSINKI,Helsinki,Santa Claus Service Helsinki Oy,08.12.2025,
2564202-6,1061016,Social Burgerjoint,"Kaivokatu 8, 2.krs, Lt 205",100,HELSINKI,Helsinki,The Social Burger Joint Oy,19.06.2018,
3341876-1,30884204,Katajanokka Rooftop Terrace & Lounge,Kruunuvuorenkatu 4,160,HELSINKI,Helsinki,Union Events Oy,12.04.2024,
2912010-2,30061819,Viikinkiravintola,c/o Jäähalli Raviradantie,50100,MIKKELI,Mikkeli,Heimoravintolat Oy,01.08.2018,
3423617-7,30889300,Newa Kitchen,Yliskylän puistokatu 4,840,HELSINKI,Helsinki,Thai Thai chili oy,01.01.2026,
2495467-7,1043116,Kylpylähotelli Rauhalahti,Katiskaniementie 8,70700,KUOPIO,Kuopio,Kuopion ja Lohjan Kylpylät Oy,01.01.2013,
3519876-6,30887293,Virran hulivili,Eteläinen Pohjolankatu 1,74100,IISALMI,Iisalmi,Virran Hulivili Oy,01.05.2025,
3574242-6,30889214,Via di Roma,Kauppurienkatu 5,90100,OULU,Oulu,Ravintola Luka Oy,04.12.2025,03.12.2026
2329811-0,1074216,Korv-Görans,Storgatan 14,68600,PIETARSAARI,Pietarsaari,Messina Oy Ab,31.05.2022,
0209602-6,1058149,Ravintola Silveria,Ruutikellarintie 4,65100,VAASA,Vaasa,Vaasan kaupunki,26.09.1997,
0211707-7,30885878,Raholan Pyrkivä ravintolakatsomo,Tesoman palloiluhalli Tesoman Valtatie 46,33310,TAMPERE,Tampere,Raholan Pyrkivä ry,19.10.2024,
0827501-7,1043558,Halsuan Helmi,Lehtomaantie 151,69510,HALSUA,Halsua,Camping Halsuan Helmi Oy,15.03.2013,
2139324-5,1027023,Kierre Pub,Auvilankuja 2,40740,JYVÄSKYLÄ,Jyväskylä,Kierre Ravintolat Oy,15.10.2007,
2302974-6,30035534,Tapiolan Keilahalli,Kauppamiehentie 6,2100,ESPOO,Espoo,Kaatolupa Oy,19.08.2020,
3487757-2,30887287,IPV Reds pub,Ottelukatu 11,55420,IMATRA,Imatra,IPV Reds Oy,01.05.2025,30.04.2026
0421010-1,1013737,Tyrnävän seurojentalon baari,Vanhatie 12,91800,TYRNÄVÄ,Tyrnävä,Tyrnävän Tempaus r.y.,01.03.2018,
3556276-7,30889290,Tapahtumatalo Alasen Helmi,Patakallionkatu 2,15230,LAHTI,Lahti,AH Event Oy,01.01.2026,
2798839-7,1055718,Musta Kasi,Hämeenkatu 2-4,5800,HYVINKÄÄ,Hyvinkää,Musta Kasi Oy,13.01.2017,
1300121-3,1017424,Loimaan Tornikahvila,Satakunnantie 14,32200,LOIMAA,Loimaa,"Loimaan Tornikahvila, om Lea Suominen",09.05.2005,
1856381-3,1024550,Ravintola Xiangfu,Tainionkoskentie 10,55100,IMATRA,Imatra,Ravintola Xiangfu Avoin yhtiö,05.01.2007,
0835866-4,30882128,Masto,Kotkankatu 14,48100,KOTKA,Kotka,Tori - Parlamentti Oy,16.06.2023,
3385580-6,30883636,Arctic Glow Minigolf,Maakuntakatu 29-31 A,96200,ROVANIEMI,Rovaniemi,Arctic Ventures Oy,01.02.2024,
1626114-1,1001141,Ravintola Pelimanni,Puistolantori 4,760,HELSINKI,Helsinki,Tmi Tran Xuan Quang,11.09.2002,
2591728-8,1060484,Makasiinikahvila,Ankkapurhantie 15,46910,ANJALA,Kouvola,Ankkapurhan kulttuurisäätiö sr,25.04.2018,
3193032-3,30886066,Kylän Taverna,Keskustie 73,51600,HAUKIVUORI,Mikkeli,Tmi Suan,01.11.2024,
2578735-6,30061511,Wanhan Waskoolimiehen Ravintola,Tankavaarantie 11 A,99695,TANKAVAARA,Sodankylä,Tankavaaran ravintola ja majoituspalvelut Oy,20.06.2018,
2520715-5,30075863,Gate H11,Helsinginkatu 11,500,HELSINKI,Helsinki,MAIY A Oy,15.11.2022,
2469872-2,1071467,Teerenpeli Panimo & Tislaamo,Liimaajankatu 5,15520,LAHTI,Lahti,Teerenpeli Panimo & Tislaamo Oy,23.06.2021,
1123677-2,30883628,Heinolan pizza kulma,Kauppakatu 18,18100,HEINOLA,Heinola,Tmi portofino,12.01.2024,
